state_class	gene	metric	n_donors	mean	median	ci_low	ci_high	positive_fraction
HSPC-marker-class	CDK6	mean_deletion_recovery_shift	14	-0.023480750154703856	-0.016062945127487183	-0.03918571041888624	-0.010725901506624986	0.21428571428571427
HSPC-marker-class	CDK6	mean_overexpression_recovery_shift	14	-0.009965194838254579	-0.01174455787986517	-0.01702224446884689	-0.002698185291124645	0.2857142857142857
HSPC-marker-class	CDK6	bidirectional_recovery_score	14	0.006757777990839843	0.0051968595944345	-0.0015383354928677102	0.01602803722759874	0.5
megakaryocyte-marker-class	CDK6	mean_deletion_recovery_shift	3	-0.06922742600242297	-0.03513272851705551	-0.13783866167068481	-0.03471088781952858	0.0
megakaryocyte-marker-class	CDK6	mean_overexpression_recovery_shift	3	0.01211147444943587	0.01654030568897724	-0.005791155621409416	0.025585273280739784	0.6666666666666666
megakaryocyte-marker-class	CDK6	bidirectional_recovery_score	3	0.0406694496050477	0.030358999967575073	0.014459866099059582	0.07718948274850845	1.0
HSPC-marker-class	CA2	mean_deletion_recovery_shift	7	-0.017620326069715832	-0.020403752103447914	-0.03935700788029602	0.001090387057878838	0.2857142857142857
HSPC-marker-class	CA2	mean_overexpression_recovery_shift	7	-0.005951045679726771	-0.012118085287511349	-0.014263344196868795	0.0029879064897873394	0.42857142857142855
HSPC-marker-class	CA2	bidirectional_recovery_score	7	0.0058346400037407875	0.012335204519331455	-0.005981794229176428	0.017346580263360254	0.7142857142857143
megakaryocyte-marker-class	CA2	mean_deletion_recovery_shift	1	-0.02344358339905739	-0.02344358339905739	-0.02344358339905739	-0.02344358339905739	0.0
megakaryocyte-marker-class	CA2	mean_overexpression_recovery_shift	1	0.03933212161064148	0.03933212161064148	0.03933212161064148	0.03933212161064148	1.0
megakaryocyte-marker-class	CA2	bidirectional_recovery_score	1	0.031387850642204285	0.031387850642204285	0.031387850642204285	0.031387850642204285	1.0
HSPC-marker-class	PARP1	mean_deletion_recovery_shift	14	-0.02806750555048763	-0.030903736129403114	-0.040212766596180574	-0.017022845780229542	0.0
HSPC-marker-class	PARP1	mean_overexpression_recovery_shift	14	0.001624010964795681	0.0013118000351823866	-0.003693748217587459	0.006876213554953989	0.5714285714285714
HSPC-marker-class	PARP1	bidirectional_recovery_score	14	0.014845758443698287	0.019765173085033894	0.008302852009988523	0.02141330605871709	0.8571428571428571
megakaryocyte-marker-class	PARP1	mean_deletion_recovery_shift	4	-0.04879897483624518	-0.050469743087887764	-0.08860746677964926	-0.007319714641198516	0.25
megakaryocyte-marker-class	PARP1	mean_overexpression_recovery_shift	4	0.013550960924476385	0.013389293104410172	0.0034109652042388916	0.023852624464780092	0.75
megakaryocyte-marker-class	PARP1	bidirectional_recovery_score	4	0.031174968811683357	0.03209118731319904	0.009973337524570525	0.0514603815972805	1.0
