scenario_id,scenario_type,GeneSymbol,scenario_rank,scenario_score,formal_rank,in_formal_top30
exp_network_grid_exp_0.6500,experimental_network_weight_grid,KIT,14,0.6028167734004259,7.0,True
exp_network_grid_exp_0.6500,experimental_network_weight_grid,CDK4,15,0.5992931207513754,8.0,True
exp_network_grid_exp_0.6500,experimental_network_weight_grid,CD38,16,0.5935207157538226,20.0,True
exp_network_grid_exp_0.6500,experimental_network_weight_grid,PTGS2,17,0.5880416073684047,18.0,True
exp_network_grid_exp_0.6500,experimental_network_weight_grid,ESR1,18,0.5818067419073658,,False
exp_network_grid_exp_0.6500,experimental_network_weight_grid,MPO,19,0.5815545088509162,22.0,True
exp_network_grid_exp_0.6500,experimental_network_weight_grid,CDK1,20,0.5810371449432667,,False
exp_network_grid_exp_0.6500,experimental_network_weight_grid,AURKB,21,0.5795837915705857,29.0,True
exp_network_grid_exp_0.6500,experimental_network_weight_grid,IGF1R,22,0.5795199193488871,,False
exp_network_grid_exp_0.6500,experimental_network_weight_grid,CCNB1,23,0.579202374752221,25.0,True
exp_network_grid_exp_0.6500,experimental_network_weight_grid,CHEK1,24,0.5783731802650409,14.0,True
exp_network_grid_exp_0.6500,experimental_network_weight_grid,APEX1,25,0.5743893595952335,10.0,True
exp_network_grid_exp_0.6500,experimental_network_weight_grid,PTPN11,26,0.5735702336719057,17.0,True
exp_network_grid_exp_0.6500,experimental_network_weight_grid,TBXAS1,27,0.5725753792806554,28.0,True
exp_network_grid_exp_0.6500,experimental_network_weight_grid,FLT3,28,0.5711716684246702,,False
exp_network_grid_exp_0.6500,experimental_network_weight_grid,PIK3CG,29,0.5614852304413176,30.0,True
exp_network_grid_exp_0.6500,experimental_network_weight_grid,MET,30,0.5595474138632937,,False
exp_network_grid_exp_0.7000,experimental_network_weight_grid,CDK6,1,0.8029035237988842,1.0,True
exp_network_grid_exp_0.7000,experimental_network_weight_grid,CA2,2,0.7929459565704557,2.0,True
exp_network_grid_exp_0.7000,experimental_network_weight_grid,ACHE,3,0.7058426208714362,5.0,True
exp_network_grid_exp_0.7000,experimental_network_weight_grid,PARP1,4,0.7056748693480335,4.0,True
exp_network_grid_exp_0.7000,experimental_network_weight_grid,HSP90AB1,5,0.6878033004560128,3.0,True
exp_network_grid_exp_0.7000,experimental_network_weight_grid,HIF1A,6,0.6427327342226989,6.0,True
exp_network_grid_exp_0.7000,experimental_network_weight_grid,TERT,7,0.6202069487271356,16.0,True
exp_network_grid_exp_0.7000,experimental_network_weight_grid,CDK2,8,0.6195726926643605,9.0,True
exp_network_grid_exp_0.7000,experimental_network_weight_grid,SYK,9,0.6149969428541184,11.0,True
exp_network_grid_exp_0.7000,experimental_network_weight_grid,KIT,10,0.6092064415677205,7.0,True
exp_network_grid_exp_0.7000,experimental_network_weight_grid,TOP2A,11,0.6063276714758868,12.0,True
exp_network_grid_exp_0.7000,experimental_network_weight_grid,CDK4,12,0.6010278319510004,8.0,True
exp_network_grid_exp_0.7000,experimental_network_weight_grid,SIGMAR1,13,0.5974551704502957,15.0,True
exp_network_grid_exp_0.7000,experimental_network_weight_grid,ARG1,14,0.5914093578443184,19.0,True
exp_network_grid_exp_0.7000,experimental_network_weight_grid,GSK3B,15,0.5822143082789041,24.0,True
exp_network_grid_exp_0.7000,experimental_network_weight_grid,CD38,16,0.5821304964698232,20.0,True
exp_network_grid_exp_0.7000,experimental_network_weight_grid,APEX1,17,0.5819007045520783,10.0,True
exp_network_grid_exp_0.7000,experimental_network_weight_grid,PTGS2,18,0.5799364585642116,18.0,True
exp_network_grid_exp_0.7000,experimental_network_weight_grid,CHEK1,19,0.5784986652734094,14.0,True
exp_network_grid_exp_0.7000,experimental_network_weight_grid,PTPN11,20,0.5733262612500332,17.0,True
exp_network_grid_exp_0.7000,experimental_network_weight_grid,MPO,21,0.5692438121128471,22.0,True
exp_network_grid_exp_0.7000,experimental_network_weight_grid,CCNB1,22,0.5667107446219446,25.0,True
exp_network_grid_exp_0.7000,experimental_network_weight_grid,AURKB,23,0.5639107498965283,29.0,True
exp_network_grid_exp_0.7000,experimental_network_weight_grid,TBXAS1,24,0.5595739802679509,28.0,True
exp_network_grid_exp_0.7000,experimental_network_weight_grid,CDK1,25,0.5578187060385376,,False
exp_network_grid_exp_0.7000,experimental_network_weight_grid,IGF1R,26,0.5561847707830517,,False
exp_network_grid_exp_0.7000,experimental_network_weight_grid,FLT3,27,0.5548515403547731,,False
exp_network_grid_exp_0.7000,experimental_network_weight_grid,PIK3CG,28,0.5513372834119638,30.0,True
