scenario_id,scenario_type,note,top30_overlap_count,top30_overlap_fraction,top30_jaccard,spearman_rank_within_overlap,top30_genes,weights_json
deterministic_jitter_166,deterministic_weight_jitter_pm25pct,"Each non-docking evidence weight multiplied by a deterministic random factor in [0.75, 1.25], then renormalized.",27,0.9,0.8181818181818182,0.9145299145299145,"CDK6, CA2, HSP90AB1, PARP1, ACHE, KIT, HIF1A, HSP90AA1, CDK4, APEX1, CDK2, CHEK1, TOP2A, PRKDC, SYK, PTPN11, MDM4, PTGS2, SIGMAR1, MPO, MIF, ARG1, CD38, TERT, PGD, CCNB1, TP53, HDAC1, G6PD, TBXAS1","{""score_AA_direction_recovery"": 0.13183261830836962, ""score_CD34_expression"": 0.15343733588584027, ""score_CD34_marker_context"": 0.10376258836656631, ""score_GSE165870_bulk_support"": 0.04785642326928589, ""score_WGCNA_module_strength"": 0.21394829720362207, ""score_module_pathology_importance"": 0.1655534912316545, ""score_network_pharmacology_hit"": 0.18360924573466128}"
deterministic_jitter_167,deterministic_weight_jitter_pm25pct,"Each non-docking evidence weight multiplied by a deterministic random factor in [0.75, 1.25], then renormalized.",28,0.9333333333333333,0.875,0.9781061850027366,"CDK6, CA2, HSP90AB1, ACHE, PARP1, KIT, HIF1A, CDK4, TOP2A, CDK2, APEX1, SIGMAR1, SYK, HSP90AA1, TERT, PTPN11, CHEK1, PTGS2, CD38, MDM4, ARG1, AURKB, GSK3B, PRKDC, G6PD, CCNB1, PGD, TBXAS1, HDAC1, PIK3CG","{""score_AA_direction_recovery"": 0.107638777485613, ""score_CD34_expression"": 0.12889748273914484, ""score_CD34_marker_context"": 0.08787492465361224, ""score_GSE165870_bulk_support"": 0.03862291777902389, ""score_WGCNA_module_strength"": 0.2938805440324254, ""score_module_pathology_importance"": 0.13544234708099637, ""score_network_pharmacology_hit"": 0.20764300622918425}"
deterministic_jitter_168,deterministic_weight_jitter_pm25pct,"Each non-docking evidence weight multiplied by a deterministic random factor in [0.75, 1.25], then renormalized.",28,0.9333333333333333,0.875,0.9731800766283524,"CDK6, CA2, HSP90AB1, PARP1, ACHE, HIF1A, KIT, CDK2, TOP2A, CDK4, APEX1, CHEK1, SYK, HSP90AA1, PTPN11, TERT, PTGS2, SIGMAR1, ARG1, MDM4, CD38, PRKDC, CCNB1, G6PD, TBXAS1, AURKB, MPO, GSK3B, TP53, HDAC1","{""score_AA_direction_recovery"": 0.08867627511329039, ""score_CD34_expression"": 0.1323580088557248, ""score_CD34_marker_context"": 0.10159932414384584, ""score_GSE165870_bulk_support"": 0.05230230573428808, ""score_WGCNA_module_strength"": 0.25058909268042384, ""score_module_pathology_importance"": 0.16372456537005714, ""score_network_pharmacology_hit"": 0.21075042810236994}"
deterministic_jitter_169,deterministic_weight_jitter_pm25pct,"Each non-docking evidence weight multiplied by a deterministic random factor in [0.75, 1.25], then renormalized.",27,0.9,0.8181818181818182,0.8742368742368741,"CDK6, HSP90AB1, CA2, PARP1, ACHE, HSP90AA1, HIF1A, CDK4, KIT, APEX1, SYK, CDK2, CHEK1, TOP2A, PRKDC, MIF, MPO, PTPN11, CD38, SIGMAR1, MDM4, PTGS2, ARG1, TERT, PGD, CCNB1, HDAC1, TP53, G6PD, GSK3B","{""score_AA_direction_recovery"": 0.13383733198246972, ""score_CD34_expression"": 0.17011635755320562, ""score_CD34_marker_context"": 0.12463050170533752, ""score_GSE165870_bulk_support"": 0.05404236329093466, ""score_WGCNA_module_strength"": 0.19772348802556672, ""score_module_pathology_importance"": 0.132531647773219, ""score_network_pharmacology_hit"": 0.18711830966926665}"
deterministic_jitter_170,deterministic_weight_jitter_pm25pct,"Each non-docking evidence weight multiplied by a deterministic random factor in [0.75, 1.25], then renormalized.",30,1.0,1.0,0.9759733036707454,"CDK6, CA2, HSP90AB1, PARP1, ACHE, HIF1A, KIT, CDK4, CDK2, SYK, TOP2A, APEX1, TERT, HSP90AA1, CHEK1, ARG1, SIGMAR1, PTGS2, PTPN11, CD38, MPO, CCNB1, GSK3B, MDM4, TBXAS1, AURKB, G6PD, PRKDC, PIK3CG, MIF","{""score_AA_direction_recovery"": 0.12183760553613551, ""score_CD34_expression"": 0.13993400812362128, ""score_CD34_marker_context"": 0.10178026235802705, ""score_GSE165870_bulk_support"": 0.05040230098825745, ""score_WGCNA_module_strength"": 0.20101835576281094, ""score_module_pathology_importance"": 0.14638686958693722, ""score_network_pharmacology_hit"": 0.2386405976442105}"
deterministic_jitter_171,deterministic_weight_jitter_pm25pct,"Each non-docking evidence weight multiplied by a deterministic random factor in [0.75, 1.25], then renormalized.",29,0.9666666666666667,0.9354838709677419,0.9709359605911327,"CDK6, CA2, HSP90AB1, PARP1, ACHE, CDK4, HIF1A, KIT, APEX1, HSP90AA1, SYK, TOP2A, CDK2, SIGMAR1, TERT, PTPN11, CHEK1, CD38, PTGS2, MIF, ARG1, MDM4, GSK3B, MPO, PRKDC, CCNB1, AURKB, G6PD, PIK3CG, FLT3","{""score_AA_direction_recovery"": 0.11777138370491118, ""score_CD34_expression"": 0.15582550289555255, ""score_CD34_marker_context"": 0.10427593498125902, ""score_GSE165870_bulk_support"": 0.03672796848324018, ""score_WGCNA_module_strength"": 0.25380206190020693, ""score_module_pathology_importance"": 0.11577047423879046, ""score_network_pharmacology_hit"": 0.2158266737960397}"
deterministic_jitter_172,deterministic_weight_jitter_pm25pct,"Each non-docking evidence weight multiplied by a deterministic random factor in [0.75, 1.25], then renormalized.",29,0.9666666666666667,0.9354838709677419,0.9103448275862068,"CDK6, CA2, HSP90AB1, PARP1, ACHE, HSP90AA1, CDK4, HIF1A, APEX1, KIT, SYK, TOP2A, CDK2, SIGMAR1, MIF, MPO, CD38, CHEK1, PTPN11, TERT, ARG1, PRKDC, PTGS2, CCNB1, GSK3B, MDM4, PGD, G6PD, TBXAS1, PIK3CG","{""score_AA_direction_recovery"": 0.12995840172085904, ""score_CD34_expression"": 0.1809102213586318, ""score_CD34_marker_context"": 0.09343129532662327, ""score_GSE165870_bulk_support"": 0.06302695631534486, ""score_WGCNA_module_strength"": 0.21069390703159158, ""score_module_pathology_importance"": 0.11634468612832272, ""score_network_pharmacology_hit"": 0.20563453211862678}"
deterministic_jitter_173,deterministic_weight_jitter_pm25pct,"Each non-docking evidence weight multiplied by a deterministic random factor in [0.75, 1.25], then renormalized.",28,0.9333333333333333,0.875,0.9534756431308156,"CDK6, CA2, HSP90AB1, PARP1, ACHE, CDK4, HIF1A, KIT, HSP90AA1, APEX1, SYK, CDK2, TOP2A, SIGMAR1, CHEK1, PTPN11, CD38, TERT, MIF, PRKDC, MDM4, PTGS2, ARG1, MPO, GSK3B, PGD, PIK3CG, HDAC1, CCNB1, G6PD","{""score_AA_direction_recovery"": 0.11733780230686765, ""score_CD34_expression"": 0.1605238012981699, ""score_CD34_marker_context"": 0.11935914588389161, ""score_GSE165870_bulk_support"": 0.05268562800783533, ""score_WGCNA_module_strength"": 0.23873074901430094, ""score_module_pathology_importance"": 0.1138637837052959, ""score_network_pharmacology_hit"": 0.1974990897836387}"
deterministic_jitter_174,deterministic_weight_jitter_pm25pct,"Each non-docking evidence weight multiplied by a deterministic random factor in [0.75, 1.25], then renormalized.",28,0.9333333333333333,0.875,0.9507389162561576,"CDK6, CA2, HSP90AB1, PARP1, ACHE, HIF1A, HSP90AA1, KIT, CDK4, APEX1, TOP2A, SYK, CDK2, SIGMAR1, PTPN11, CHEK1, TERT, MIF, CD38, MDM4, PTGS2, ARG1, PRKDC, PGD, HDAC1, MPO, CCNB1, G6PD, GSK3B, AURKB","{""score_AA_direction_recovery"": 0.08721541662885324, ""score_CD34_expression"": 0.166776289796494, ""score_CD34_marker_context"": 0.09718027363714898, ""score_GSE165870_bulk_support"": 0.05561390756202901, ""score_WGCNA_module_strength"": 0.26916663779008054, ""score_module_pathology_importance"": 0.13143661035784568, ""score_network_pharmacology_hit"": 0.19261086422754853}"
deterministic_jitter_175,deterministic_weight_jitter_pm25pct,"Each non-docking evidence weight multiplied by a deterministic random factor in [0.75, 1.25], then renormalized.",29,0.9666666666666667,0.9354838709677419,0.9482758620689653,"CDK6, CA2, HSP90AB1, ACHE, PARP1, HIF1A, KIT, CDK2, TOP2A, CDK4, SYK, TERT, SIGMAR1, CHEK1, APEX1, PTGS2, PTPN11, ARG1, CD38, HSP90AA1, MDM4, CCNB1, AURKB, TBXAS1, GSK3B, G6PD, MPO, PRKDC, PIK3CG, FLT3","{""score_AA_direction_recovery"": 0.12668911820551976, ""score_CD34_expression"": 0.11134791284415418, ""score_CD34_marker_context"": 0.08210984489277835, ""score_GSE165870_bulk_support"": 0.03837549553940116, ""score_WGCNA_module_strength"": 0.2437288052589558, ""score_module_pathology_importance"": 0.15947872430934165, ""score_network_pharmacology_hit"": 0.2382700989498492}"
