evidence_component,score_column,pre_removal_weight,final_normalized_weight,derivation
WGCNA module strength,score_WGCNA_module_strength,0.3,0.23478260869565215,The archived docking weight (0.08) was removed; the remaining experimental total (0.72) and network-pharmacology weight (0.20) were divided by 0.92 without changing their relative proportions.
Module pathology importance,score_module_pathology_importance,0.18,0.1408695652173913,The archived docking weight (0.08) was removed; the remaining experimental total (0.72) and network-pharmacology weight (0.20) were divided by 0.92 without changing their relative proportions.
CD34 expression,score_CD34_expression,0.18,0.1408695652173913,The archived docking weight (0.08) was removed; the remaining experimental total (0.72) and network-pharmacology weight (0.20) were divided by 0.92 without changing their relative proportions.
CD34 marker context,score_CD34_marker_context,0.14,0.10956521739130434,The archived docking weight (0.08) was removed; the remaining experimental total (0.72) and network-pharmacology weight (0.20) were divided by 0.92 without changing their relative proportions.
AA-direction recovery,score_AA_direction_recovery,0.14,0.10956521739130434,The archived docking weight (0.08) was removed; the remaining experimental total (0.72) and network-pharmacology weight (0.20) were divided by 0.92 without changing their relative proportions.
GSE165870 bulk support,score_GSE165870_bulk_support,0.06,0.04695652173913043,The archived docking weight (0.08) was removed; the remaining experimental total (0.72) and network-pharmacology weight (0.20) were divided by 0.92 without changing their relative proportions.
Network pharmacology support,score_network_pharmacology_hit,0.2,0.21739130434782608,The archived docking weight (0.08) was removed; the remaining experimental total (0.72) and network-pharmacology weight (0.20) were divided by 0.92 without changing their relative proportions.
