time_ns	temperature_K	pressure_bar	density_kg_m3
0.82	298.116913	129.229965	1031.823364
0.83	300.840088	124.516304	1039.06604
0.84	301.165588	158.142838	1029.137085
0.85	301.637085	41.486736	1033.131104
0.86	301.491974	82.893005	1033.080322
0.87	300.442078	-333.319977	1025.899536
0.88	300.306671	97.460136	1030.790405
0.89	299.665955	5.727915	1033.954468
0.9	299.38385	-206.245438	1031.164673
0.91	297.887848	-80.888336	1031.104126
0.92	300.267822	73.055717	1025.068481
0.93	298.666656	140.904587	1035.747192
0.94	300.06012	38.682358	1035.645874
0.95	300.040588	24.775106	1030.264404
0.96	298.11911	-120.967079	1029.86731
0.97	299.575684	91.157173	1035.505371
0.98	297.92514	-118.801819	1026.529541
0.99	300.242493	-32.314121	1026.376099
1.0	299.197876	-98.747292	1028.684814
1.01	301.645142	-290.257721	1028.764893
1.02	298.819855	-185.527664	1031.081299
1.03	300.636749	-163.498367	1026.958984
1.04	299.293518	170.925797	1034.452881
1.05	299.686615	-89.859276	1027.489624
1.06	300.746765	-98.431786	1032.134766
1.07	299.305542	-188.770218	1029.494629
1.08	300.826019	-156.332947	1021.866333
1.09	301.859283	55.54134	1030.016357
1.1	298.703003	109.694878	1034.009644
1.11	298.875031	64.401741	1029.973145
1.12	299.262329	78.97467	1036.561035
1.13	300.209351	-212.461304	1028.438965
1.14	301.387207	-232.057297	1023.671143
1.15	300.603363	63.208241	1034.152832
1.16	299.222626	85.507408	1038.171631
1.17	299.590454	-32.286919	1029.754028
1.18	300.177826	33.647781	1039.380005
1.19	300.511017	52.350773	1041.340088
1.2	300.549408	242.946854	1036.192505
1.21	299.776062	-165.689514	1029.298706
1.22	298.647522	-99.775696	1030.885986
1.23	302.098511	-30.9412	1032.355469
1.24	301.173065	-176.218582	1022.546631
1.25	301.490906	21.959867	1032.016968
1.26	300.328705	166.925644	1036.984497
1.27	299.435699	58.333782	1030.602173
1.28	299.157837	-316.296112	1022.938843
1.29	299.036102	-96.821716	1033.582886
1.3	300.089203	-136.984879	1029.147339
1.31	299.02301	-61.79707	1029.944214
1.32	299.01886	-118.334076	1030.437622
1.33	299.306091	-120.16745	1030.361694
1.34	298.503601	14.953522	1030.045044
1.35	300.24884	135.015228	1035.980713
1.36	300.462769	-83.83606	1029.452393
1.37	301.419373	-17.420876	1023.738708
1.38	300.544678	-176.177856	1033.498779
1.39	300.331879	-48.951992	1028.39856
1.4	297.112885	-34.424511	1027.998535
1.41	300.876282	-9.097746	1033.320312
1.42	298.853333	43.120392	1035.391113
1.43	300.347839	115.984009	1037.346436
1.44	299.247894	192.525681	1039.626953
1.45	301.515137	190.562729	1035.658447
1.46	299.135895	-185.363037	1031.163574
1.47	300.592316	-139.516586	1034.242432
1.48	299.655731	4.807734	1039.287109
1.49	300.233093	-13.992612	1034.209839
1.5	299.565094	83.771202	1033.23877
1.51	300.920837	38.787441	1037.595825
1.52	300.012878	-43.90456	1031.840942
1.53	298.073303	181.594055	1033.040283
1.54	300.134399	-26.018053	1033.008057
1.55	299.711823	14.561498	1027.86084
1.56	300.011566	73.283913	1039.164429
1.57	300.16571	111.890709	1035.372681
1.58	302.262421	59.589077	1037.991943
1.59	299.934509	139.301193	1035.646729
1.6	298.471039	-43.268417	1025.630249
1.61	300.46225	-304.695099	1022.024292
1.62	300.219543	100.953407	1037.796143
1.63	301.642883	52.280136	1032.107056
1.64	299.786346	-253.414383	1027.108521
1.65	300.699707	176.032898	1031.987915
1.66	299.853577	142.336609	1034.599854
1.67	300.094482	-66.619553	1030.323608
1.68	300.326508	-108.946693	1028.083862
1.69	301.493164	65.304771	1038.73999
1.7	299.422729	9.573743	1031.764648
1.71	300.186493	182.507874	1037.005981
1.72	300.710266	119.848198	1035.101562
1.73	298.911591	342.062622	1043.092041
1.74	301.419006	157.870911	1030.996704
1.75	300.204956	-201.154221	1025.711182
1.76	302.621033	-44.306072	1032.662354
1.77	300.654358	-18.643686	1029.762329
1.78	301.722626	-6.382627	1030.684692
1.79	300.645477	149.813095	1035.497681
1.8	299.197754	48.177425	1033.860107
1.81	299.337708	130.03511	1034.851196
1.82	299.962189	-40.536259	1034.068237
1.83	298.189362	94.606178	1033.916626
1.84	300.127625	-71.452454	1032.744873
1.85	299.620575	228.827988	1041.339233
1.86	300.422028	114.357246	1036.489868
1.87	299.577209	75.394295	1032.702271
1.88	301.087006	-13.201775	1030.510132
1.89	298.8349	-124.263359	1030.740845
1.9	299.664825	26.976267	1033.334106
1.91	300.517975	151.279373	1033.212891
1.92	298.345032	-74.440285	1024.87561
1.93	299.508209	28.888784	1031.050171
1.94	300.588257	69.366806	1033.733154
1.95	300.758484	142.908096	1034.217896
1.96	300.478699	-58.59573	1034.145142
1.97	301.136749	-19.852381	1033.966187
1.98	299.131927	20.350805	1034.912598
1.99	298.406616	133.369843	1033.899902
2.0	299.247559	66.0168	1031.113403
2.01	299.350616	93.049171	1032.023315
2.02	302.219513	-22.429939	1033.590088
2.03	298.805847	3.162298	1033.113525
2.04	299.108307	-29.916693	1031.894287
2.05	300.590057	-44.446003	1029.112549
2.06	299.684998	-20.63998	1033.31311
2.07	300.575104	108.060242	1037.012329
2.08	299.283356	337.727753	1039.987427
2.09	301.389648	95.543236	1037.720337
2.1	300.897766	23.019753	1034.676636
2.11	300.344269	-122.578308	1029.06604
2.12	298.692444	-61.677353	1031.065918
2.13	300.136108	9.577214	1032.679077
2.14	301.680908	148.576965	1037.908691
2.15	300.234406	144.334122	1036.883911
2.16	300.312469	-121.022919	1031.575073
2.17	300.537933	-155.869766	1029.140869
2.18	299.853699	22.962683	1029.399658
2.19	300.318878	188.576355	1039.5448
2.2	300.313232	21.462217	1028.754639
2.21	299.83255	27.274675	1032.47229
2.22	299.979645	-28.149216	1031.439331
2.23	302.006622	11.655364	1033.081909
2.24	298.573853	38.096642	1033.356201
2.25	300.84021	229.993729	1037.831787
2.26	299.189758	-286.783234	1026.288696
2.27	300.537933	1.724047	1025.460449
2.28	300.397217	-9.967438	1030.134155
2.29	300.542267	-153.677444	1017.444214
2.3	300.172974	-139.856323	1026.071045
2.31	300.249359	90.776367	1031.001221
2.32	301.529968	209.451782	1042.119263
2.33	299.484985	81.365051	1029.23877
2.34	300.490936	74.777954	1030.999146
2.35	298.034149	209.683289	1033.968018
2.36	299.464325	58.755077	1037.927979
2.37	299.69632	-42.111649	1034.46167
2.38	300.117432	-31.199961	1031.250977
2.39	299.729218	-140.16864	1030.217407
2.4	299.564148	-135.158249	1028.87085
2.41	300.774139	-119.722801	1029.442383
2.42	300.307587	111.808434	1034.269043
2.43	301.004547	-110.118111	1033.150024
2.44	300.063812	103.771278	1034.059204
2.45	298.751282	-116.211937	1026.654419
2.46	300.266968	-138.828018	1028.579102
2.47	300.983398	202.673889	1038.108276
2.48	301.228821	178.772705	1041.199463
2.49	298.726776	-166.013397	1031.893555
2.5	299.579926	-38.239582	1031.86853
2.51	300.438141	117.609596	1037.188232
2.52	299.83847	146.506836	1037.406982
2.53	300.674469	-74.327072	1026.356934
2.54	299.198486	105.957985	1038.593872
2.55	299.545135	-6.251526	1033.2052
2.56	299.800568	-39.479572	1033.943848
2.57	298.725586	79.995338	1035.458862
2.58	300.712128	-27.92507	1033.435059
2.59	297.90686	-7.135422	1031.33252
2.6	301.441467	243.812073	1039.133789
2.61	300.476074	238.769531	1039.505005
2.62	299.42749	-11.905426	1032.304932
2.63	301.635803	-102.501213	1030.107178
2.64	300.751953	-48.592205	1028.785156
2.65	302.57196	117.884697	1037.496948
2.66	301.272156	-30.850237	1028.444092
2.67	300.253448	-160.179245	1027.523804
2.68	300.292297	32.260967	1031.016113
2.69	300.195465	2.855474	1035.406372
2.7	300.185242	75.860809	1032.945557
2.71	301.309357	109.688232	1034.654541
2.72	300.559418	29.200411	1031.800781
2.73	299.276215	-125.640709	1034.887573
2.74	299.622803	6.902402	1032.579102
2.75	298.119385	18.124914	1037.787842
2.76	299.311371	145.165955	1034.541748
2.77	301.028198	64.532051	1030.587402
2.78	300.363678	17.182169	1032.477417
2.79	298.907898	-115.762352	1033.298096
2.8	300.733429	22.773584	1038.352539
2.81	298.511566	93.010963	1035.243652
2.82	299.270355	-123.20459	1029.849731
2.83	299.26413	-107.021797	1024.432251
2.84	300.570892	137.248688	1036.49292
2.85	300.330811	23.616272	1030.284546
2.86	299.69809	-9.47001	1029.955566
2.87	300.125153	-145.641739	1027.326782
2.88	301.659119	34.389317	1037.79541
2.89	299.189758	105.396614	1031.646606
2.9	299.284973	19.11305	1033.090454
2.91	299.557312	-65.267235	1030.856079
2.92	300.363281	-162.338867	1029.676636
2.93	299.132782	110.610748	1035.0271
2.94	299.530884	-42.538132	1032.309692
2.95	299.598877	201.705627	1035.988525
2.96	299.6026	-58.492306	1028.200317
2.97	299.686249	-272.762482	1027.151855
2.98	299.822571	-123.341667	1026.578979
2.99	299.831818	109.737282	1039.98291
3.0	300.259613	35.471455	1035.531616
3.01	298.865631	78.153404	1035.998901
3.02	302.306488	26.20643	1028.282349
3.03	298.834503	-46.173321	1029.592896
3.04	299.0	30.688194	1032.575928
3.05	301.09256	-64.323036	1034.852905
3.06	298.800964	86.387672	1036.480225
3.07	298.674347	-2.515218	1034.496582
3.08	301.364777	-62.237942	1025.807251
3.09	300.615204	132.305771	1036.860718
3.1	298.531799	-30.785934	1030.634399
3.11	298.991058	-165.794968	1031.467285
3.12	299.180573	-349.359161	1020.721375
3.13	300.000549	49.765873	1037.94165
3.14	296.740234	-21.991873	1035.543335
3.15	299.765442	-74.089256	1033.72229
3.16	300.105438	199.83136	1037.372437
3.17	300.944275	-165.450729	1023.931824
3.18	298.308228	77.182426	1032.369385
3.19	299.499908	-133.457947	1022.760437
3.2	301.784882	-32.324718	1030.757568
3.21	301.192291	-250.772903	1021.394836
3.22	302.431549	-25.594706	1029.459351
3.23	300.293274	187.314316	1035.730103
3.24	299.209076	3.365326	1030.045044
3.25	298.694214	-11.538025	1031.914551
3.26	299.788574	72.162498	1036.780029
3.27	300.519806	23.610519	1034.923584
3.28	300.081726	118.179787	1029.708252
3.29	300.786224	-49.057659	1026.635498
3.3	299.291687	151.224258	1035.791504
3.31	299.219696	-172.281082	1021.401855
3.32	298.94458	-45.568081	1026.873413
3.33	299.21228	-14.954381	1033.859009
3.34	300.476379	-47.998459	1035.2146
3.35	300.530334	-60.39043	1029.628174
3.36	300.206879	155.816147	1038.287842
3.37	299.625336	72.953926	1037.406982
3.38	301.64209	-32.073956	1026.62146
3.39	300.549957	-82.673286	1029.342407
3.4	298.839386	36.805275	1033.905884
3.41	300.784332	-207.479202	1030.900635
3.42	298.841675	111.172829	1036.995972
3.43	301.585388	169.911911	1037.675049
3.44	300.759064	-138.90892	1032.083496
3.45	299.980621	22.83639	1031.654053
3.46	298.757477	-117.86396	1031.894653
3.47	299.644623	26.820639	1031.518799
3.48	299.554626	89.120461	1025.617065
3.49	301.229736	-107.158821	1029.154541
3.5	301.206696	-27.203819	1036.287109
3.51	301.402588	-93.817566	1030.622314
3.52	300.485626	73.560593	1033.962524
3.53	299.909973	-6.979904	1038.885132
3.54	300.206207	28.383017	1030.428101
3.55	298.735535	-155.122421	1030.283203
3.56	298.907806	136.503433	1035.652344
3.57	300.819946	-26.053854	1032.474121
3.58	300.096191	-93.576897	1032.639771
3.59	299.706512	266.271698	1040.601685
3.6	299.386414	-59.076553	1028.677979
3.61	298.794495	-94.8461	1031.460815
3.62	299.992432	147.753601	1034.835571
3.63	299.586792	37.903145	1036.103149
3.64	298.04892	18.544384	1032.552979
3.65	301.957153	90.20118	1034.483765
3.66	300.235626	-179.344254	1028.612915
3.67	298.292786	-7.526217	1029.229004
3.68	300.865143	-159.59169	1028.61377
3.69	298.309387	4.8736	1027.956909
3.7	300.498444	46.211578	1032.253418
3.71	300.406464	181.594849	1033.974731
3.72	298.274475	-16.860588	1028.635132
3.73	302.347717	200.823013	1037.182007
3.74	301.02356	57.527058	1033.969727
3.75	297.609467	-133.699905	1031.956543
3.76	301.162842	227.41893	1040.572388
3.77	300.343048	98.384529	1033.923828
3.78	300.781738	71.623833	1034.826904
3.79	300.112061	293.246613	1032.227539
3.8	300.639832	-121.855568	1029.531128
3.81	298.678253	10.284943	1025.058716
3.82	298.392273	-119.280113	1036.078491
3.83	301.45932	-1.226433	1034.14917
3.84	300.186035	34.945225	1033.226562
3.85	299.749237	-245.287704	1030.157959
3.86	300.891968	106.542229	1031.759277
3.87	299.87262	56.260471	1037.182861
3.88	301.050476	-181.186035	1030.647095
3.89	301.27832	-41.921223	1031.972046
3.9	300.456726	-168.61174	1029.229736
3.91	298.484009	-18.329859	1034.708984
3.92	297.835297	79.612076	1037.35791
3.93	299.937592	-101.814453	1030.876953
3.94	300.470978	-113.788879	1029.52002
3.95	298.075073	16.499111	1028.890991
3.96	299.979462	189.993332	1039.576294
3.97	299.435516	207.214478	1039.159058
3.98	300.164185	141.097778	1034.803711
3.99	302.006714	110.429985	1034.350464
4.0	299.98349	65.359245	1033.812134
4.01	302.027222	-239.224442	1032.476562
4.02	300.440186	-23.528051	1032.908325
4.03	300.373383	86.455841	1028.293701
4.04	304.038879	100.022972	1037.863647
4.05	300.694977	156.284988	1037.60437
4.06	299.882385	69.883797	1033.260376
4.07	300.172607	-253.882675	1026.392822
4.08	301.392883	12.642331	1032.393799
4.09	299.820343	144.001968	1039.705078
4.1	300.58371	42.775036	1036.128052
4.11	300.792755	86.063164	1033.875366
4.12	299.466064	161.06131	1033.181519
4.13	299.36795	-104.070824	1032.568604
4.14	301.152222	26.261078	1036.95752
4.15	299.368439	-84.185555	1030.426025
4.16	299.824799	27.969732	1034.89209
4.17	299.263947	113.75808	1040.023438
4.18	300.708649	-85.278282	1028.168091
4.19	302.835205	29.921961	1031.032349
4.2	299.332397	39.44521	1035.389282
4.21	300.547272	-86.008942	1026.426147
4.22	298.86618	281.806671	1038.491943
4.23	302.6651	33.053635	1035.050049
4.24	300.327423	2.409963	1029.209961
4.25	301.388336	-207.790695	1027.53833
4.26	300.841888	-162.177811	1030.156982
4.27	300.891754	-80.996284	1030.192871
4.28	299.064087	252.264481	1037.650879
4.29	300.997467	-16.859167	1029.266113
4.3	300.918518	-84.183769	1028.937622
4.31	298.777344	-139.503326	1031.358276
4.32	301.426697	-239.676376	1032.542358
4.33	300.403748	-189.794022	1032.779663
4.34	300.205048	29.979027	1033.936279
4.35	299.861664	76.087883	1039.528687
4.36	299.765076	146.255508	1033.795654
4.37	298.224884	-45.864407	1031.55249
4.38	299.838928	219.1604	1037.836792
4.39	299.481873	10.442756	1037.207397
4.4	298.115082	-58.265156	1032.402954
4.41	301.443512	25.117243	1028.072876
4.42	299.400269	49.735714	1026.407349
4.43	300.678284	-71.195419	1034.559082
4.44	300.12738	31.564451	1033.148682
4.45	300.651154	-39.242859	1035.901978
4.46	299.910187	-37.897213	1028.234253
4.47	300.620941	9.05516	1033.136475
4.48	299.254639	17.785702	1027.631592
4.49	299.681152	-64.571953	1034.046997
4.5	300.128418	122.769569	1035.30188
4.51	300.100464	139.92775	1036.93042
4.52	299.271088	-95.099159	1030.936768
4.53	301.925079	58.845871	1029.082764
4.54	299.321136	-33.159576	1031.502075
4.55	300.179596	-388.946869	1022.333618
4.56	300.33255	-58.087337	1026.67688
4.57	299.270081	45.60561	1031.353027
4.58	300.086243	33.148289	1036.053467
4.59	300.665344	83.436806	1031.042236
4.6	296.658356	-112.540955	1031.29187
4.61	299.760651	23.703369	1035.566895
4.62	301.72995	0.576035	1030.581299
4.63	298.633423	180.798401	1035.871338
4.64	300.115692	-220.447525	1026.781006
4.65	299.533295	50.184437	1034.543823
4.66	300.89386	-7.469698	1033.156982
4.67	301.355652	-59.481243	1035.456299
4.68	298.525574	-155.033554	1028.394287
4.69	300.604126	-59.92786	1028.335449
4.7	299.86673	225.90802	1037.036621
4.71	298.6138	109.501801	1033.377075
4.72	299.422913	0.746047	1032.234253
4.73	299.427826	14.202182	1035.917969
4.74	299.283142	78.910469	1036.469727
4.75	301.12738	234.705521	1045.977905
4.76	301.354858	-10.124927	1030.368408
4.77	300.037842	-164.583191	1026.781006
4.78	300.737061	138.654922	1033.953369
4.79	300.249725	3.630442	1037.175659
4.8	299.459106	166.983963	1035.995239
4.81	300.242584	5.730447	1036.030518
4.82	298.051727	-15.818779	1024.750732
4.83	300.480865	-195.00354	1022.146667
4.84	300.517578	33.380177	1037.634888
4.85	299.172272	-6.859539	1032.438232
4.86	297.571106	-54.858875	1032.000977
4.87	301.684296	19.384645	1029.587036
4.88	300.955139	89.013329	1033.6698
4.89	299.174652	-57.150707	1030.47168
4.9	300.454346	-24.750877	1028.098389
4.91	300.869965	-73.211418	1028.053589
4.92	300.108795	162.423203	1036.465576
4.93	300.455658	161.99826	1038.178345
4.94	301.319519	45.598339	1033.067505
4.95	300.528564	-69.745872	1027.544678
4.96	299.679504	-122.282509	1031.802368
4.97	299.815643	-214.23378	1024.061401
4.98	299.76886	77.1549	1037.531494
4.99	300.189148	-54.099804	1031.189087
5.0	301.651794	98.734886	1033.282227
5.01	300.711365	217.994675	1042.816406
5.02	299.069122	-17.243402	1030.954224
5.03	301.112701	0.508779	1030.626709
5.04	301.325897	-110.173668	1028.263794
5.05	300.301117	67.21228	1039.320923
5.06	300.889435	109.547264	1032.686279
5.07	297.922974	-212.220963	1031.36145
5.08	299.909424	-31.523712	1029.743774
5.09	302.390472	-100.712029	1029.12207
5.1	298.558441	58.4958	1034.352295
5.11	300.69751	179.684448	1037.920654
5.12	299.510101	-54.580311	1030.806641
5.13	298.997925	28.04141	1032.24707
5.14	301.851318	-83.277939	1028.581787
5.15	299.676392	-18.473963	1033.294189
5.16	296.857849	156.939316	1036.141602
5.17	299.618652	-52.453033	1028.467896
5.18	300.014252	-49.410206	1032.5
5.19	299.506561	57.353607	1034.199463
5.2	300.951782	-137.880325	1033.55603
5.21	299.084229	-4.979655	1029.182983
5.22	300.670013	-51.894882	1032.454712
5.23	301.071503	135.415726	1037.213379
5.24	299.710297	111.810341	1040.648438
5.25	299.392822	-59.328396	1032.658569
5.26	298.074493	254.230225	1035.917725
5.27	299.737946	-35.405952	1032.838867
5.28	302.368683	39.548634	1031.165161
5.29	299.592438	-48.257278	1030.248779
5.3	301.384766	282.364594	1039.795898
5.31	299.724731	212.939209	1036.369873
5.32	300.113556	12.813518	1040.275513
5.33	301.319305	67.853523	1031.755005
5.34	300.194214	200.455261	1035.980713
5.35	301.531189	-240.029541	1024.410645
5.36	300.238892	16.662489	1031.543701
5.37	299.832672	-204.586166	1031.533081
5.38	298.851349	-118.6633	1031.936035
5.39	299.316864	-104.96917	1034.062988
5.4	299.515747	36.367062	1028.802002
5.41	300.410583	-63.560791	1029.738159
5.42	301.663635	1.180511	1034.082153
5.43	300.514801	107.099266	1037.295532
5.44	300.178955	17.290045	1029.628662
5.45	298.655273	194.795349	1042.604248
5.46	299.59729	20.148275	1032.665283
5.47	300.774231	49.56287	1031.075073
5.48	298.928558	151.905838	1037.520996
5.49	299.160919	171.296432	1043.092651
5.5	299.254974	303.995453	1040.424927
5.51	300.897797	74.742363	1031.239624
5.52	299.063141	121.041718	1037.206665
5.53	299.958038	-92.704346	1029.499634
5.54	300.284515	-223.3582	1026.56543
5.55	299.479218	92.004997	1032.221191
5.56	299.998993	138.146942	1039.061157
5.57	300.973145	-30.442627	1029.613037
5.58	299.260101	-17.885612	1031.211914
5.59	298.700867	-38.690907	1028.453613
5.6	299.656525	-45.986465	1025.901611
5.61	298.517792	29.192726	1030.630859
5.62	298.601105	72.805695	1034.955078
5.63	301.599518	-0.659392	1031.171509
5.64	297.394714	81.645302	1032.588379
5.65	300.902679	-3.952256	1025.568237
5.66	299.256165	-177.164429	1030.228271
5.67	300.434814	-125.652596	1031.262939
5.68	298.316254	78.510994	1029.014771
5.69	301.150604	-16.373735	1037.365234
5.7	299.733337	-153.277756	1027.22168
5.71	300.752045	28.211332	1032.431396
5.72	300.35788	-54.287354	1030.995483
5.73	300.834717	-30.062063	1033.790649
5.74	300.447266	40.450657	1032.413574
5.75	301.263	74.758507	1029.820068
5.76	302.76416	55.625195	1033.983521
5.77	299.046326	203.753662	1033.537842
5.78	299.142883	151.949356	1031.799927
5.79	301.52829	41.528835	1040.237305
5.8	298.145569	-88.990501	1031.279053
5.81	299.460815	-283.916809	1026.900879
5.82	299.601868	6.84253	1035.97998
5.83	302.157227	-152.205124	1035.474121
5.84	298.311249	-31.428034	1032.601685
5.85	298.793457	51.087749	1030.913086
5.86	299.391174	138.192154	1037.163818
5.87	298.853577	-46.739628	1033.735107
5.88	300.713684	-45.804424	1032.193237
5.89	300.960449	40.918209	1031.06189
5.9	300.312653	233.29364	1041.366699
5.91	300.04776	28.799606	1033.564819
5.92	300.012726	-37.838318	1032.364258
5.93	300.634979	-242.543579	1023.433655
5.94	300.104767	-136.517715	1027.591919
5.95	297.59082	-22.567675	1032.301514
5.96	300.118439	218.341263	1035.706787
5.97	301.36203	-82.981079	1028.145264
5.98	299.803162	189.063187	1033.586182
5.99	300.166565	203.347961	1032.975708
6.0	298.339539	72.280144	1028.570312
6.01	299.598816	-168.234268	1031.122681
6.02	299.743439	173.027954	1037.13208
6.03	298.262665	75.901878	1035.190063
6.04	299.703827	-76.692757	1032.143799
6.05	300.730377	-68.241516	1031.154053
6.06	299.856171	42.629147	1034.492432
6.07	300.381714	14.758471	1033.610107
6.08	301.892303	11.337712	1031.637329
6.09	300.081238	55.790661	1033.927856
6.1	301.776306	44.892456	1032.598145
6.11	299.708221	-25.646296	1034.300537
6.12	300.820618	147.485596	1037.549927
6.13	300.699677	0.105199	1035.009033
6.14	299.488159	53.448872	1037.896362
6.15	300.774841	-237.469894	1029.062988
6.16	299.156616	-154.391327	1031.085449
6.17	301.770752	-168.363342	1026.821899
6.18	299.613098	-24.488388	1034.641724
6.19	300.306793	8.911275	1032.870728
6.2	300.260162	151.106857	1037.167847
6.21	301.012573	-53.321896	1029.698975
6.22	300.663055	-19.967331	1029.797852
6.23	300.524536	-19.983154	1033.558105
6.24	300.061798	49.391922	1034.971313
6.25	299.515503	-223.340408	1022.315796
6.26	298.005219	-121.803772	1029.968018
6.27	301.434052	-36.09016	1033.500854
6.28	298.735291	-159.807922	1032.001221
6.29	300.90036	61.446377	1029.667969
6.3	300.790863	36.057709	1032.095703
6.31	298.029572	-43.343021	1030.624023
6.32	301.883453	2.251326	1027.772827
6.33	299.922241	-36.067657	1030.653931
6.34	299.625885	-46.748013	1033.663208
6.35	300.081848	81.27681	1034.900269
6.36	299.137634	15.855443	1031.046753
6.37	298.777863	78.752144	1034.424316
6.38	301.071198	-145.852585	1023.877441
6.39	298.286499	48.59129	1028.656372
6.4	301.230042	172.959061	1037.024414
6.41	299.184021	-132.504868	1032.772217
6.42	299.331451	207.466919	1039.97168
6.43	299.595184	47.972157	1027.853027
6.44	298.918274	93.967918	1033.133789
6.45	302.59198	68.04287	1034.939331
6.46	298.721588	0.972847	1031.556519
6.47	298.129181	-15.124939	1028.523926
6.48	301.91864	-131.631729	1032.201416
6.49	300.472748	-43.444855	1033.113525
6.5	301.405609	-72.900398	1031.328247
6.51	300.375763	-36.269367	1029.166504
6.52	299.880981	92.4058	1032.794556
6.53	299.458923	101.898354	1035.40686
6.54	300.273651	-27.639351	1031.154053
6.55	300.313538	-78.096886	1024.594971
6.56	299.904175	-32.2868	1029.247314
6.57	301.314575	67.894844	1034.2677
6.58	300.477539	-76.62088	1035.054932
6.59	300.287567	-135.843842	1021.466003
6.6	300.840729	-124.530701	1030.539917
6.61	299.609039	39.956478	1034.90271
6.62	300.994537	35.300381	1035.649414
6.63	301.311951	198.427856	1039.217285
6.64	299.963135	89.678947	1031.953613
6.65	300.812744	64.291557	1036.494629
6.66	298.705475	33.396503	1036.312744
6.67	299.61554	13.978897	1034.268311
6.68	301.882416	279.832855	1043.934326
6.69	300.052216	-92.014282	1029.32312
6.7	299.137543	182.919266	1035.60498
6.71	297.759064	66.324692	1036.086304
6.72	298.64917	174.579025	1033.799316
6.73	299.813599	81.170181	1034.725586
6.74	297.91629	116.135292	1033.543213
6.75	299.783569	-59.558823	1027.72998
6.76	301.225006	104.870789	1034.476318
6.77	300.920868	185.731308	1031.734253
6.78	300.467926	-16.111712	1026.643066
6.79	297.636108	-133.491165	1027.725464
6.8	298.498932	-1.486219	1026.943848
