time_ns	protein_sasa_nm2	protein_sasa_output_group_nm2
2.64	334.105	334.105
2.65	329.5	329.5
2.66	328.739	328.739
2.67	329.769	329.769
2.68	330.826	330.826
2.69	325.251	325.251
2.7	330.291	330.291
2.71	324.903	324.903
2.72	325.51	325.51
2.73	329.642	329.642
2.74	328.365	328.365
2.75	331.038	331.038
2.76	329.453	329.453
2.77	327.183	327.183
2.78	325.912	325.912
2.79	330.587	330.587
2.8	329.348	329.348
2.81	328.034	328.034
2.82	330.777	330.777
2.83	324.231	324.231
2.84	322.48	322.48
2.85	326.719	326.719
2.86	330.283	330.283
2.87	329.205	329.205
2.88	327.661	327.661
2.89	333.805	333.805
2.9	329.755	329.755
2.91	328.566	328.566
2.92	330.56	330.56
2.93	324.879	324.879
2.94	330.803	330.803
2.95	335.282	335.282
2.96	333.928	333.928
2.97	332.78	332.78
2.98	336.048	336.048
2.99	331.876	331.876
3.0	334.722	334.722
3.01	330.658	330.658
3.02	331.473	331.473
3.03	333.138	333.138
3.04	329.371	329.371
3.05	329.478	329.478
3.06	333.668	333.668
3.07	331.808	331.808
3.08	334.664	334.664
3.09	333.844	333.844
3.1	334.788	334.788
3.11	339.089	339.089
3.12	335.174	335.174
3.13	333.784	333.784
3.14	331.426	331.426
3.15	330.284	330.284
3.16	329.553	329.553
3.17	331.513	331.513
3.18	331.041	331.041
3.19	334.464	334.464
3.2	331.97	331.97
3.21	327.52	327.52
3.22	327.445	327.445
3.23	329.488	329.488
3.24	329.396	329.396
3.25	334.299	334.299
3.26	328.639	328.639
3.27	331.931	331.931
3.28	331.862	331.862
3.29	328.527	328.527
3.3	332.129	332.129
3.31	330.976	330.976
3.32	330.251	330.251
3.33	333.155	333.155
3.34	327.831	327.831
3.35	332.967	332.967
3.36	333.6	333.6
3.37	328.388	328.388
3.38	333.302	333.302
3.39	327.634	327.634
3.4	327.509	327.509
3.41	329.43	329.43
3.42	334.311	334.311
3.43	331.031	331.031
3.44	328.253	328.253
3.45	330.237	330.237
3.46	330.398	330.398
3.47	334.162	334.162
3.48	330.25	330.25
3.49	333.004	333.004
3.5	331.957	331.957
3.51	326.673	326.673
3.52	330.524	330.524
3.53	325.689	325.689
3.54	327.356	327.356
3.55	331.529	331.529
3.56	327.053	327.053
3.57	330.415	330.415
3.58	334.642	334.642
3.59	330.583	330.583
3.6	332.764	332.764
3.61	331.573	331.573
3.62	330.172	330.172
3.63	334.647	334.647
3.64	334.446	334.446
3.65	334.805	334.805
3.66	330.7	330.7
3.67	334.36	334.36
3.68	332.466	332.466
3.69	334.877	334.877
3.7	332.396	332.396
3.71	333.076	333.076
3.72	331.563	331.563
3.73	333.545	333.545
3.74	334.321	334.321
3.75	332.941	332.941
3.76	329.933	329.933
3.77	332.062	332.062
3.78	336.144	336.144
3.79	336.969	336.969
3.8	331.795	331.795
3.81	333.646	333.646
3.82	334.365	334.365
3.83	330.039	330.039
3.84	329.06	329.06
3.85	331.747	331.747
3.86	331.695	331.695
3.87	336.522	336.522
3.88	335.326	335.326
3.89	329.503	329.503
3.9	332.397	332.397
3.91	334.575	334.575
3.92	331.271	331.271
3.93	338.684	338.684
3.94	334.751	334.751
3.95	334.51	334.51
3.96	331.358	331.358
3.97	333.638	333.638
3.98	328.755	328.755
3.99	328.251	328.251
4.0	331.016	331.016
4.01	333.743	333.743
4.02	333.167	333.167
4.03	334.951	334.951
4.04	333.596	333.596
4.05	329.601	329.601
4.06	334.581	334.581
4.07	329.834	329.834
4.08	329.385	329.385
4.09	328.837	328.837
4.1	328.863	328.863
4.11	329.026	329.026
4.12	331.47	331.47
4.13	330.584	330.584
4.14	335.772	335.772
4.15	331.025	331.025
4.16	329.584	329.584
4.17	329.289	329.289
4.18	332.363	332.363
4.19	331.938	331.938
4.2	334.464	334.464
4.21	334.429	334.429
4.22	330.884	330.884
4.23	335.026	335.026
4.24	333.205	333.205
4.25	331.903	331.903
4.26	336.387	336.387
4.27	330.834	330.834
4.28	330.992	330.992
4.29	329.228	329.228
4.3	331.738	331.738
4.31	327.965	327.965
4.32	335.04	335.04
4.33	331.192	331.192
4.34	328.976	328.976
4.35	331.226	331.226
4.36	329.984	329.984
4.37	332.704	332.704
4.38	331.931	331.931
4.39	327.156	327.156
4.4	329.428	329.428
4.41	328.982	328.982
4.42	328.306	328.306
4.43	328.185	328.185
4.44	331.821	331.821
4.45	332.537	332.537
4.46	328.755	328.755
4.47	330.694	330.694
4.48	329.535	329.535
4.49	328.757	328.757
4.5	326.251	326.251
4.51	328.997	328.997
4.52	327.179	327.179
4.53	326.972	326.972
4.54	330.907	330.907
4.55	333.568	333.568
4.56	331.164	331.164
4.57	329.164	329.164
4.58	330.778	330.778
4.59	329.759	329.759
4.6	335.442	335.442
4.61	331.549	331.549
4.62	332.412	332.412
4.63	333.577	333.577
4.64	332.647	332.647
4.65	334.105	334.105
4.66	328.675	328.675
4.67	329.826	329.826
4.68	329.904	329.904
4.69	329.57	329.57
4.7	328.524	328.524
4.71	326.183	326.183
4.72	330.531	330.531
4.73	330.312	330.312
4.74	329.327	329.327
4.75	332.647	332.647
4.76	328.802	328.802
4.77	333.695	333.695
