frame	time_ns	protein_backbone_rmsd_nm	ligand_heavy_rmsd_after_protein_fit_nm	protein_ligand_min_heavy_distance_nm	protein_ligand_heavy_contact_pairs_le_0_40_nm	pocket_occupied_le_0_50_nm	pocket_occupied_le_0_40_nm	pocket_ligand_heavy_contact_pairs_le_0_40_nm	pocket_ligand_com_distance_nm	protein_radius_of_gyration_nm
70	0.7	0.10946647731028894	0.17519250107898715	0.29546562233488305	77	1	1	77	0.18627087275852236	2.7524091997109235
71	0.71	0.11261383709852782	0.19724661720716574	0.2868254259073963	63	1	1	63	0.19622528143188875	2.751461490196163
72	0.72	0.10978466152996277	0.18826208702040734	0.29516981236912454	76	1	1	76	0.1942642158103905	2.75305815774419
73	0.73	0.1111050772658414	0.1639203203655671	0.279370876750859	77	1	1	77	0.18255178707332195	2.7505353043343908
74	0.74	0.11490957290294139	0.1322943119160128	0.2872105308644256	70	1	1	70	0.14368503885413567	2.7556793978768543
75	0.75	0.122606295442821	0.1990483927624763	0.275582935651659	73	1	1	73	0.2065972459320987	2.748952270612131
76	0.76	0.11657552546807386	0.17196654562372501	0.28314991076570445	78	1	1	78	0.18818652728312402	2.753651910542132
77	0.77	0.1163382553721584	0.1613502657822553	0.30138725287522317	79	1	1	79	0.19572796332075143	2.7423517562084894
78	0.78	0.11622677748946668	0.17025960234956466	0.283980562676614	88	1	1	88	0.18105795160017063	2.747789991451355
79	0.79	0.11171729807428532	0.14806355530350673	0.2805155317799109	91	1	1	91	0.17658531531224436	2.7467061953517726
80	0.8	0.1045796754050001	0.19264305224255335	0.2940289508806773	73	1	1	73	0.19722546622722598	2.748081110027633
81	0.81	0.11144493644202494	0.17935005539438945	0.2952696361886213	82	1	1	82	0.1814289218788417	2.744177768132133
82	0.82	0.11532407860051755	0.16270771007389054	0.29994188733322974	87	1	1	87	0.1977423914853756	2.738884453341103
83	0.83	0.11281428954383291	0.1827072647482015	0.2879618370997089	74	1	1	74	0.21884109475373842	2.7389093346610904
84	0.84	0.11479088911913375	0.17414541643862436	0.28933363006860124	64	1	1	64	0.19764188587150075	2.7459945123616505
85	0.85	0.1177576285327141	0.23068269484745535	0.29017925361225533	66	1	1	66	0.2112596998531525	2.744672850500382
86	0.86	0.1141460515420378	0.17256497911183274	0.2728807301867626	81	1	1	81	0.1999495566617008	2.740694564124708
87	0.87	0.11216081087715224	0.18504814669253136	0.2741696013995329	79	1	1	79	0.20434396419039008	2.7489218999516347
88	0.88	0.12157894146041781	0.1691756444446165	0.2929265695766887	79	1	1	79	0.19640213056996708	2.7376913212826546
89	0.89	0.10978737721541527	0.20207897016718715	0.31592391323779945	79	1	1	79	0.22452521960935426	2.7416118273489865
90	0.9	0.11745350446207892	0.1844127690841415	0.28425541994079995	63	1	1	63	0.20153032160221773	2.7422253082192416
91	0.91	0.117535214923256	0.20075334556876756	0.2857554375510483	84	1	1	84	0.22405082492731165	2.7453822928984493
92	0.92	0.11741178952339296	0.2562486499976694	0.30262336951196434	65	1	1	65	0.23434411906708746	2.7490524055077565
93	0.93	0.11483934646092438	0.18326237769285786	0.2888079816586449	75	1	1	75	0.19545059306162282	2.7304198355663845
94	0.94	0.11657985651699987	0.18665949469193055	0.29600140772290356	92	1	1	92	0.19896662074844068	2.7409894427105956
95	0.95	0.12896935029587805	0.17816116215555966	0.2973128944701143	67	1	1	67	0.18900444621683773	2.739854489225388
96	0.96	0.1249418324092052	0.18879773166712813	0.2829363977531868	94	1	1	94	0.19774262290766578	2.741797494133466
97	0.97	0.12755701872964392	0.15149150442650824	0.28651516616401734	80	1	1	80	0.1924362052636032	2.743892075324922
98	0.98	0.12712150026714292	0.20357863305233215	0.2868957435933848	73	1	1	73	0.2136662802826907	2.7431274784649085
99	0.99	0.13183706152569746	0.19850222478223933	0.28631485595306483	71	1	1	71	0.2014673742731282	2.7464029245499884
100	1.0	0.141532943121472	0.17207688947690047	0.2789999823312367	69	1	1	69	0.18681633299732808	2.747171366496161
101	1.01	0.13490061286003657	0.12991679148665491	0.2679795970150463	66	1	1	66	0.15385757791137505	2.742715895026369
102	1.02	0.1301862049821381	0.18422162272965328	0.2752815136581785	78	1	1	78	0.1858738994743759	2.7437484534913827
103	1.03	0.12974618877675262	0.16835270825248544	0.28477753810328255	73	1	1	73	0.16625519948301984	2.745752774324992
104	1.04	0.12535589756511142	0.16707491408693106	0.2829946521124253	74	1	1	74	0.17355301850307348	2.739060875768142
105	1.05	0.11932241108164096	0.17650765958817893	0.2882560858579834	63	1	1	63	0.1971186620857683	2.7471139046554898
106	1.06	0.12236715084550823	0.1911978435134985	0.28198461480522974	70	1	1	70	0.2006278624659533	2.7395037736119217
107	1.07	0.1278973433608263	0.16432611467560837	0.2890275289671685	66	1	1	66	0.18227373364740673	2.7415601118087904
108	1.08	0.1276318118216285	0.1432329705453393	0.29227035413363034	60	1	1	60	0.1829240229162164	2.7428797791129007
109	1.09	0.12325689868583704	0.1460888932599182	0.2746216333735846	82	1	1	82	0.174869275256908	2.739806602615845
110	1.1	0.11776584499186493	0.1693184996722612	0.2819843149109381	79	1	1	79	0.18784021567363038	2.736582662946399
111	1.11	0.1209621175218241	0.1921693507815499	0.2854351257610059	93	1	1	93	0.20892080880699354	2.744682026658832
112	1.12	0.12840725409781495	0.19008747398436726	0.28183872501697016	76	1	1	76	0.20174688056226517	2.741826644442872
113	1.13	0.11671487715717441	0.16490288611029277	0.29407002809389227	75	1	1	75	0.21168976417106813	2.746052539317929
114	1.14	0.12104888176457917	0.1706644956296213	0.2935271998377259	82	1	1	82	0.18879163719841005	2.7493323602331126
115	1.15	0.1222699059240046	0.1785227817003991	0.2863794265597165	85	1	1	85	0.2084992032847865	2.7465548346816653
116	1.16	0.11841187941367448	0.16866850113983803	0.3062221151878486	78	1	1	78	0.17996369039525975	2.7416492056174127
117	1.17	0.11419191317899388	0.14546558323434466	0.29056665912661256	82	1	1	82	0.18784251530644863	2.74435434786625
118	1.18	0.11683188306314665	0.19061601105538606	0.2884049077163579	69	1	1	69	0.20615824367054764	2.746156341024193
119	1.19	0.12146778835611127	0.1989108679166379	0.28844065707203387	71	1	1	71	0.22701815771670836	2.7415517885052596
120	1.2	0.11863811726839671	0.20288921382154568	0.2810070189934646	75	1	1	75	0.23909394791768376	2.740361754247925
121	1.21	0.11590250476596362	0.17400614098208408	0.2908301875786117	89	1	1	89	0.19174313800895879	2.738017825323748
122	1.22	0.12154633198564398	0.22306012938813735	0.2900843281315896	76	1	1	76	0.24326160577876918	2.740294399433622
123	1.23	0.12437148428331132	0.18686212715388856	0.28138205116862686	73	1	1	73	0.20310394345505006	2.738840420722625
124	1.24	0.12164536351077962	0.19430074414656692	0.28205831587224983	83	1	1	83	0.20544593570234496	2.745006534369987
125	1.25	0.1202717000298507	0.19426395061964677	0.3011412800236531	83	1	1	83	0.20379562764459253	2.7428195934205335
126	1.26	0.1256690476918687	0.16148754563685225	0.27390908559209337	87	1	1	87	0.18778488537393076	2.7383202349554487
127	1.27	0.12539802564386043	0.2192218392230115	0.28824120317475377	82	1	1	82	0.23426545908253305	2.740016788754016
128	1.28	0.11778405965111846	0.18102925439681514	0.2730215747395678	79	1	1	79	0.21757348006845514	2.7439536150172574
129	1.29	0.11777381512096892	0.1918049527141572	0.2697030721576461	80	1	1	80	0.20981303240470858	2.741763274961383
130	1.3	0.11990964767662324	0.19466592748797357	0.2782569419599209	80	1	1	80	0.210412136675389	2.7454023734282553
131	1.31	0.1203588586259386	0.16987461303588608	0.2802383579920119	70	1	1	70	0.19874718129649038	2.7564464262990676
132	1.32	0.12404857084426786	0.22282374651966763	0.27151874506274143	87	1	1	87	0.22798160428349984	2.747535486746
133	1.33	0.12781107596168093	0.1979862985803886	0.28991582310567915	64	1	1	64	0.22070734604118725	2.740845844622223
134	1.34	0.12774393965852457	0.2554882246908779	0.2955468869472805	89	1	1	89	0.2457974491552543	2.742783142088237
135	1.35	0.134855426855982	0.18739770086055912	0.2712508335218658	74	1	1	74	0.21708209814586277	2.7396377645350367
136	1.36	0.13169091385684437	0.2077459777886305	0.27581702102668226	71	1	1	71	0.22742401510061053	2.749051375075074
137	1.37	0.12896617255110904	0.19700752188270504	0.2831922274069808	78	1	1	78	0.2332902638052901	2.7484281527534895
138	1.38	0.11980182957126348	0.18116508777191476	0.28563286593185283	69	1	1	69	0.21122261659401084	2.7475540741309468
139	1.39	0.11862292374808447	0.18986431828474415	0.2905550894677273	69	1	1	69	0.2024150131302381	2.746187693093189
140	1.4	0.11999742294162719	0.18454445472726194	0.2903428496866759	83	1	1	83	0.20699874123388956	2.746209335574729
141	1.41	0.1347179481456743	0.18787824285157495	0.29002391137660904	72	1	1	72	0.2211427266057106	2.7495149815789777
142	1.42	0.1246423030124569	0.1536850979322844	0.2755359164273858	78	1	1	78	0.20467444544141328	2.746316238891762
143	1.43	0.1270666959347995	0.17921894371765795	0.27875576148889464	76	1	1	76	0.20052810725500056	2.7474650681771897
144	1.44	0.11624310582655417	0.1918797042532741	0.2780665962093096	90	1	1	90	0.21440224372667468	2.7433057159712946
145	1.45	0.1265550932075757	0.18021010947779173	0.2789336185450144	79	1	1	79	0.21210430105688105	2.7496452729594236
146	1.46	0.12551827496654036	0.2149028236333367	0.26700889507980147	80	1	1	80	0.24115218276292497	2.7448787793128604
147	1.47	0.13038449546188097	0.20381622210544745	0.28005202200750495	84	1	1	84	0.22817459455756292	2.744542715756829
148	1.48	0.12765900794838272	0.17422271979425913	0.3024498674059931	66	1	1	66	0.1985976839092882	2.7442382437763606
149	1.49	0.12672889282818559	0.17375899359243674	0.29832343765215186	70	1	1	70	0.19907637454554958	2.746111948246348
150	1.5	0.12390386054628351	0.25214303572998953	0.27331683401963697	63	1	1	63	0.24859153343488657	2.752955886893772
151	1.51	0.12213929160960904	0.1876746210476258	0.296285240825522	56	1	1	56	0.22093019814668963	2.736659981924194
152	1.52	0.11814180029827577	0.22259966261481284	0.27911829405572625	69	1	1	69	0.24414015155586744	2.7476272124295527
153	1.53	0.12712769711241134	0.18455318681328056	0.28814910718908854	66	1	1	66	0.2122017596599654	2.7452712361649345
154	1.54	0.13188463036406614	0.21720410469882517	0.2933766816584508	68	1	1	68	0.23606699799102282	2.733360042606199
155	1.55	0.12756611650156396	0.18520358366857942	0.29337529446326926	80	1	1	80	0.2272585770755878	2.7298011297244344
156	1.56	0.12575961074174505	0.20953931366968392	0.28404411562976234	68	1	1	68	0.23143188000304088	2.739483279089879
157	1.57	0.12942509677428918	0.2022197872474994	0.2650168718689402	91	1	1	91	0.23434551844058849	2.730063810361419
158	1.58	0.12285713990015716	0.20902838439111826	0.2834465892884823	70	1	1	70	0.23488728887631044	2.7349041750621215
159	1.59	0.1286212735087186	0.18115428833333608	0.3015576859274398	86	1	1	86	0.20839443293281762	2.7320015020180333
160	1.6	0.12621398673965506	0.23229539171187114	0.28986205105615837	69	1	1	69	0.24431991967864972	2.7348440210229725
161	1.61	0.12457893158917901	0.25892619808885053	0.2966664420251629	82	1	1	82	0.26415808565372123	2.7434115863887376
162	1.62	0.12764564994559321	0.2689000583279734	0.28165796771907115	71	1	1	71	0.25347669378718346	2.740753931826123
163	1.63	0.12749930653430117	0.3063561923903414	0.284430541575298	80	1	1	80	0.2929241672039514	2.741220933432203
164	1.64	0.11917117523619014	0.2956325527574308	0.28931857140458406	75	1	1	75	0.2745256886706099	2.745641497745303
165	1.65	0.12767241342812002	0.29070064663064615	0.2689849950486695	70	1	1	70	0.26094660984179363	2.742745474644388
166	1.66	0.1326061937830879	0.32266213908314884	0.2677160869614282	85	1	1	85	0.26972715416411075	2.741390685736139
167	1.67	0.1274708700721448	0.2968039689838496	0.2695440745720216	82	1	1	82	0.2685444849826407	2.7388936587721444
168	1.68	0.12796936133767686	0.3075546857043597	0.2950561976241407	86	1	1	86	0.28533420327669506	2.7387945160173595
169	1.69	0.13580825106308075	0.2844017052085684	0.2733659316762417	84	1	1	84	0.2582192792841565	2.7450642356459256
170	1.7	0.12851379383605036	0.3085887488334076	0.27566290345423305	77	1	1	77	0.27958938035414693	2.743094912805708
171	1.71	0.1300367167110476	0.32061824614728046	0.29435524841200067	88	1	1	88	0.27956638287943436	2.7479806578732773
172	1.72	0.13051873484382953	0.2756986374598192	0.2964525909583403	69	1	1	69	0.2548338920828682	2.737405903515336
173	1.73	0.131834324557506	0.25331755594457006	0.29985844787364324	70	1	1	70	0.2536917113593977	2.736704982492483
174	1.74	0.1380645147518142	0.25912118989673666	0.29161287657115514	73	1	1	73	0.2364646641720512	2.7380609218959613
175	1.75	0.12059489292692763	0.2978160509522846	0.26967011310364236	88	1	1	88	0.25702752923545236	2.755280613904028
176	1.76	0.12021922388834047	0.2999317557552352	0.298873949843863	77	1	1	77	0.27658682582457067	2.7498861599461972
177	1.77	0.12444986743642769	0.309637363476813	0.27160956110426177	82	1	1	82	0.31509511923392763	2.7455547601599917
178	1.78	0.13360470375894792	0.2975087631408134	0.289730631090241	88	1	1	88	0.2867241579791264	2.7450870701670493
179	1.79	0.11928913897379423	0.31008877896956843	0.26055499448215047	88	1	1	88	0.3091860368507401	2.7484941400441003
180	1.8	0.1377455209678093	0.28048992353819213	0.2645050646180439	85	1	1	85	0.27735890948290814	2.74703077112855
181	1.81	0.14314290336212093	0.2741077193958762	0.2936767469343672	79	1	1	79	0.2424493196792809	2.742441790540478
182	1.82	0.1345134008092203	0.30353773998074984	0.28324421409215594	80	1	1	80	0.2912911795179546	2.7404786035338544
183	1.83	0.1363628705171971	0.3138061865053773	0.2802390837345958	66	1	1	66	0.296399102875192	2.744621893482493
184	1.84	0.1292219161456512	0.28970750323833233	0.2899669335094234	69	1	1	69	0.2726872999441781	2.750306866026392
185	1.85	0.13168828036089714	0.29160727930101993	0.28742513703839984	76	1	1	76	0.27370224172196367	2.739600796552209
186	1.86	0.13330514486648978	0.3076441993867816	0.2853869961772176	75	1	1	75	0.2915184781389467	2.7497362786755657
187	1.87	0.12502720632267883	0.3202204051725231	0.29917388961939145	68	1	1	68	0.28814531765696527	2.7511107949514266
188	1.88	0.12683213151648018	0.28024589341960626	0.3046145453867565	64	1	1	64	0.22945581580561747	2.748312675427974
189	1.89	0.12674523515772762	0.2842880000437391	0.2883071437459022	82	1	1	82	0.2458534941289523	2.7484437649062885
190	1.9	0.13742618746577892	0.302061900127146	0.2844240236908421	84	1	1	84	0.2782997007495039	2.7486735044656383
191	1.91	0.1373367031919416	0.3023724717010076	0.2796244674690358	76	1	1	76	0.27427354751721417	2.746418225841994
192	1.92	0.14936306468004487	0.29819902964972517	0.29411312707493875	66	1	1	66	0.2367436701895334	2.746980366067476
193	1.93	0.14474994777067116	0.28131746290774823	0.2851822518208958	75	1	1	75	0.26353730599171915	2.7442752826049928
194	1.94	0.13284199190416324	0.29093349735119467	0.2823119197770821	73	1	1	73	0.2647350777848196	2.740684237163898
195	1.95	0.1460863968616655	0.26348528408638916	0.28098034792515847	93	1	1	93	0.2178792032265473	2.7382611104317616
196	1.96	0.13950072581503525	0.28510461682273674	0.30167001333642596	70	1	1	70	0.24513071154316757	2.733240655115819
197	1.97	0.1322492058396023	0.27535549780652174	0.2837973539153146	67	1	1	67	0.26129420099715395	2.7427313806376086
198	1.98	0.13268976552826203	0.2841785264240939	0.26925434311710666	78	1	1	78	0.27633587882711413	2.7407495060105322
199	1.99	0.13111854508464468	0.24187479560799155	0.27948193244629654	81	1	1	81	0.2179950253257304	2.7319724812455854
200	2.0	0.13120454951646313	0.28744408754788237	0.2661595201526733	74	1	1	74	0.2793396083088475	2.7347156629855136
201	2.01	0.12638959771587874	0.2882307342717814	0.2557303527465249	86	1	1	86	0.29988623499794625	2.7392174579117046
202	2.02	0.13918135161966544	0.2366089719623134	0.26722410218014536	72	1	1	72	0.2188011080954758	2.7336481225417355
203	2.03	0.1330331249455054	0.31009097584868067	0.29306843152657036	86	1	1	86	0.2726663758308805	2.745141029557508
204	2.04	0.1309611690053914	0.31189495707206966	0.28460871911398916	80	1	1	80	0.2761713561384282	2.739715782970209
205	2.05	0.13335616514570323	0.2597867640563463	0.2943365129006207	75	1	1	75	0.24325154053143297	2.739278288785997
206	2.06	0.13824844726742974	0.2680943984990499	0.2931454576665852	81	1	1	81	0.2574024910441581	2.7438420426288737
207	2.07	0.1356484861503916	0.29044128428401583	0.2789714737187631	85	1	1	85	0.28630915942851237	2.742288567312605
208	2.08	0.12353118360780091	0.26792731270254827	0.2998041951407789	81	1	1	81	0.2831177448814579	2.7376594505025214
209	2.09	0.12704103965802666	0.2330297698400111	0.29212749466809035	75	1	1	75	0.2571286320451645	2.7394526074734626
210	2.1	0.12469210054411126	0.24333873148482232	0.2824996290651941	86	1	1	86	0.2413714012224427	2.74391265362972
211	2.11	0.13781600925216547	0.2837184136800161	0.27387053957877	76	1	1	76	0.2953950890167031	2.743283178926656
212	2.12	0.12716729554791956	0.26179658390088967	0.2852435394497848	68	1	1	68	0.24577393664206829	2.7417376441989836
213	2.13	0.13510869672906448	0.284114537539263	0.27207346623473316	77	1	1	77	0.29444955095836833	2.7373208293713645
214	2.14	0.13563875845637077	0.3316545900014138	0.3070458692376611	78	1	1	76	0.3427573697162455	2.7360161547912623
215	2.15	0.15307853001123684	0.2517835897475319	0.2944584711591159	67	1	1	67	0.23724329181525397	2.735268803106155
216	2.16	0.16650820665772048	0.293705793809539	0.2848266449497593	78	1	1	78	0.2706918358433518	2.747061284085362
217	2.17	0.14831760931415994	0.29225932506175306	0.29491418563068467	87	1	1	86	0.3031721276473357	2.735977005004245
218	2.18	0.14214934575873367	0.2476792975767806	0.28307811868898247	77	1	1	77	0.2488742158470157	2.7390617081501007
219	2.19	0.1463339236539451	0.2815015790185463	0.2859036628248336	74	1	1	74	0.2957393557073186	2.7381649388333886
220	2.2	0.12768448128029716	0.2632751974986537	0.2910916089018253	53	1	1	53	0.26188738418443364	2.744063875417601
221	2.21	0.14178242775498165	0.275250138022082	0.2583043819269172	71	1	1	71	0.25814278573505584	2.7475692484540244
222	2.22	0.13434541234301373	0.2590982541308426	0.28561188128727266	83	1	1	83	0.2682055564621339	2.7398482824649086
223	2.23	0.13796758818150395	0.2776322864006273	0.28770506530478135	88	1	1	88	0.28022338297758814	2.745389791605942
224	2.24	0.14268721213376928	0.2521716707887407	0.28764115193201306	75	1	1	75	0.26634068366609276	2.7445058025981237
225	2.25	0.14201217524069032	0.24237881690844104	0.284621922513061	72	1	1	72	0.25053557851127717	2.7330792417306182
226	2.26	0.15331532321006694	0.2660198941876401	0.2911271601976693	85	1	1	85	0.2677812939824903	2.748731342083566
227	2.27	0.15166044735434053	0.25125466692272436	0.2917672530398579	79	1	1	79	0.2509874294504836	2.7446877683482263
228	2.28	0.14672359808105545	0.2678016431838953	0.2859025474548498	95	1	1	95	0.2683930460920969	2.7471532307437814
229	2.29	0.1519233500672455	0.2839522007745963	0.27782412535970413	91	1	1	91	0.2864523775672445	2.752565050021647
230	2.3	0.1384133139905955	0.25198377391104315	0.279376220393011	68	1	1	68	0.2584730489881399	2.746289966811924
231	2.31	0.1494444436275507	0.2519740808986529	0.27350475017567427	67	1	1	67	0.2630423744920942	2.750392977572645
232	2.32	0.14903226025739438	0.2511154199369371	0.2870227892102149	94	1	1	94	0.24566189186781529	2.738862744029431
