"gene","distance","Z","FC","p.value","p.adj"
"PSMA4",4.64700130392465e-10,-1.08213827174469,5.68443321275314e-07,0.999398433553775,0.99999999994277
"JPX",4.62629928593328e-10,-1.08300222968658,5.63389863994876e-07,0.999401113483526,0.99999999994277
"HDAC2",4.59652368905041e-10,-1.08425071673254,5.56161068668178e-07,0.999404968011535,0.99999999994277
"TXNL1",4.56526586071663e-10,-1.08556887554945,5.48622642374195e-07,0.999409014418253,0.99999999994277
"SCNM1",4.55095229303587e-10,-1.08617508432271,5.45187820777557e-07,0.999410867346613,0.99999999994277
"ZSWIM7",4.53036664006594e-10,-1.08704981619784,5.40266800494951e-07,0.999413532212642,0.99999999994277
"PHF20",4.51907068999094e-10,-1.08753126379063,5.37575972603888e-07,0.999414994502603,0.99999999994277
"PLSCR1",4.51027734938059e-10,-1.08790676551455,5.35485945737307e-07,0.999416132823296,0.99999999994277
"GMFG",4.47682149425884e-10,-1.08934122133998,5.27571268067694e-07,0.999420463770312,0.99999999994277
"RNF7",4.46919926009188e-10,-1.08966932462618,5.25776312230193e-07,0.99942145048825,0.99999999994277
"MRPS7",4.46174652746606e-10,-1.08999059827065,5.24024229643003e-07,0.999422415263777,0.99999999994277
"OXLD1",4.46006178906814e-10,-1.09006328834451,5.23628565274138e-07,0.999422633357522,0.99999999994277
"KLHDC2",4.40939996454002e-10,-1.09226028725538,5.11800337712723e-07,0.999429191661845,0.99999999994277
"HADHB",4.38744548171497e-10,-1.09321912753212,5.06716499134312e-07,0.999432033726488,0.99999999994277
"DNAJA2",4.34288709567702e-10,-1.09517795262069,4.96476455209296e-07,0.999437801924946,0.99999999994277
"MIER1",4.31690103352522e-10,-1.09632833305862,4.90552806179683e-07,0.999441165887997,0.99999999994277
"PSMB2",4.23768652888184e-10,-1.09987229922254,4.7271483876212e-07,0.999451420410854,0.99999999994277
"ZC3H11A",4.22350049452855e-10,-1.10051298546579,4.6955522583904e-07,0.999453256829764,0.99999999994277
"ACYP2",4.18985034830271e-10,-1.10204018237771,4.6210280219483e-07,0.999457612928409,0.99999999994277
"UBE2N",4.1620410450147e-10,-1.10331029410798,4.55988927601508e-07,0.999461212914809,0.99999999994277
"HAX1",4.12224518951945e-10,-1.10514064015845,4.47310630366605e-07,0.999466364591484,0.99999999994277
"MRPL37",4.12086975869487e-10,-1.10520417270775,4.47012180294178e-07,0.999466542644571,0.99999999994277
"RSBN1L",4.07592493023184e-10,-1.1072903440676,4.37314555792363e-07,0.999472360869175,0.99999999994277
"TAF9",4.05795597826625e-10,-1.10812994725248,4.33467201893297e-07,0.999474686996615,0.99999999994277
"ARID2",4.05212861687215e-10,-1.10840292008727,4.32223148797387e-07,0.999475441363663,0.99999999994277
"CHCHD2",4.0486425663873e-10,-1.10856637997518,4.31479784640029e-07,0.999475892641941,0.99999999994277
"SHFM1",4.04420647601644e-10,-1.10877456244186,4.30534759408649e-07,0.999476466905348,0.99999999994277
"STARD7",4.03485437430304e-10,-1.10921409532121,4.28545865212975e-07,0.999477677559175,0.99999999994277
"TCEA1",4.02418951901399e-10,-1.10971639823219,4.262834095996e-07,0.999479058152361,0.99999999994277
"ARL6IP6",3.99160905402859e-10,-1.1112580406689,4.19408837784205e-07,0.999483275778087,0.99999999994277
"TCF7",3.97426883418225e-10,-1.11208297232641,4.1577278797735e-07,0.999485520514544,0.99999999994277
"CIB1",3.9435174114788e-10,-1.11355357845599,4.09363488484988e-07,0.999489501366022,0.99999999994277
"FYTTD1",3.836731933851e-10,-1.11873826462985,3.87493563681629e-07,0.999503325023338,0.99999999994277
"OCIAD1",3.81370378645856e-10,-1.11987261279337,3.82856033483649e-07,0.999506306076824,0.99999999994277
"PSMF1",3.79804882758751e-10,-1.12064713903261,3.79719295986506e-07,0.999508332651911,0.99999999994277
"HADH",3.78631720849091e-10,-1.12122936435004,3.77377123806824e-07,0.999509851340476,0.99999999994277
"XIST",3.78485264108169e-10,-1.12130215809234,3.77085237356974e-07,0.999510040932531,0.99999999994277
"LAMP2",3.76974605976943e-10,-1.12205442416019,3.74081104247199e-07,0.999511996518724,0.99999999994277
"PPP1CB",3.69619731833138e-10,-1.12575449336826,3.5962665605056e-07,0.999521517594402,0.99999999994277
"AKNA",3.6871307266893e-10,-1.1262149964396,3.57864526639231e-07,0.999522691288252,0.99999999994277
"SMARCA4",3.6688683392408e-10,-1.12714553547589,3.54328294252117e-07,0.99952505540177,0.99999999994277
"ORMDL1",3.5798581082893e-10,-1.13173891585074,3.37344167663426e-07,0.999536578007559,0.99999999994277
"SCCPDH",3.56076398329671e-10,-1.13273707496898,3.33755135172393e-07,0.999539049791689,0.99999999994277
"TRMT1",3.51129658670457e-10,-1.13534464026451,3.24546259582355e-07,0.999545453474828,0.99999999994277
"DDX24",3.47391388209047e-10,-1.13733627485759,3.17672540252553e-07,0.99955029276318,0.99999999994277
"GTF2F1",3.41345813454812e-10,-1.14059660731101,3.06711980930325e-07,0.999558118916993,0.99999999994277
"SRSF11",3.40624686095539e-10,-1.14098882128952,3.05417430000745e-07,0.999559052435125,0.99999999994277
"FLT3LG",3.40331106019288e-10,-1.1411487015717,3.04891186098212e-07,0.999559432482173,0.99999999994277
"SRPRA",3.35400005551043e-10,-1.14385204532162,2.96119979398602e-07,0.999565815920063,0.99999999994277
"GTF3C6",3.35213160598064e-10,-1.14395514999386,2.95790145698671e-07,0.999566057795718,0.99999999994277
"YWHAE",3.32880801503478e-10,-1.14524637680568,2.91688345115619e-07,0.999569077095277,0.99999999994277
"LTB",3.3075467409399e-10,-1.14643024250052,2.87974186388055e-07,0.999571829422557,0.99999999994277
"WTAP",3.30206737099831e-10,-1.14673640636118,2.87020845308029e-07,0.999572538741261,0.99999999994277
"TXNRD1",3.26275074496231e-10,-1.14894618646658,2.80226611010137e-07,0.999577628380868,0.99999999994277
"PIM1",3.20372940171459e-10,-1.15230694032434,2.70180022438645e-07,0.999585268847453,0.99999999994277
"TMEM179B",3.19847865312427e-10,-1.15260850338452,2.69295125714247e-07,0.999585948570534,0.99999999994277
"COPS6",3.19403459133881e-10,-1.15286407005519,2.68547312208547e-07,0.999586523865907,0.99999999994277
"TMC8",3.18698488551531e-10,-1.15327011004632,2.67363173318802e-07,0.999587436468688,0.99999999994277
"IFNAR2",3.12463189226012e-10,-1.15689554138313,2.57003656301291e-07,0.999595508226096,0.99999999994277
"BTG1",3.1209809339919e-10,-1.15710974797686,2.56403418273252e-07,0.999595980852156,0.99999999994277
"CCDC90B",3.08788977008951e-10,-1.15906116343036,2.50995050226062e-07,0.999600264589545,0.99999999994277
"HBG2",3.06821834367562e-10,-1.1602297632692,2.4780730451199e-07,0.999602811106955,0.99999999994277
"CIRBP",3.02007523753517e-10,-1.16311722522591,2.40091676647669e-07,0.999609043357516,0.99999999994277
"ARHGAP15",2.95142755129437e-10,-1.16730386978889,2.29300939266877e-07,0.999617929979451,0.99999999994277
"COMMD1",2.94472353658053e-10,-1.16771721522339,2.28260431941444e-07,0.999618797831635,0.99999999994277
"ALAS2",2.89009295920582e-10,-1.17111611273951,2.19869608706336e-07,0.999625869902325,0.99999999994277
"GMPS",2.85424060831134e-10,-1.17337692339467,2.14448365775083e-07,0.999630511082649,0.99999999994277
"MKKS",2.84790211422169e-10,-1.17377916553853,2.13496960067158e-07,0.99963133161724,0.99999999994277
"MZT2B",2.83292042934862e-10,-1.17473298226023,2.11256622504838e-07,0.999633271035423,0.99999999994277
"THRAP3",2.80821209404192e-10,-1.17631559071641,2.07587591613073e-07,0.999636469593879,0.99999999994277
"MYEOV2",2.77215710646321e-10,-1.17864664088785,2.02291324711713e-07,0.999641137006079,0.99999999994277
"CCDC25",2.68497921100745e-10,-1.18439277682837,1.897681983537e-07,0.99965242241212,0.99999999994277
"NAP1L4",2.67424819869474e-10,-1.18511116226404,1.88254342729189e-07,0.999653811569669,0.99999999994277
"CCDC59",2.64825154490375e-10,-1.18686185755568,1.84612051405548e-07,0.999657176904352,0.99999999994277
"PSMB6",2.6375152535892e-10,-1.1875891972467,1.83118212158732e-07,0.999658566745285,0.99999999994277
"SETD2",2.63281700710887e-10,-1.18790828708814,1.8246641063375e-07,0.999659174945555,0.99999999994277
"NDUFB10",2.61447609251547e-10,-1.18915865936778,1.79933044902873e-07,0.999661549224824,0.99999999994277
"TMEM123",2.61194724697862e-10,-1.18933165331876,1.79585133656747e-07,0.99966187659048,0.99999999994277
"DNAJC7",2.60662609434064e-10,-1.18969613612184,1.78854164440123e-07,0.999662565427579,0.99999999994277
"HIST2H2AC",2.59469842197835e-10,-1.19051548098761,1.77221070258877e-07,0.999664109495904,0.99999999994277
"LIMD2",2.51549196292384e-10,-1.1960402653484,1.66566418526536e-07,0.999674362978826,0.99999999994277
"RUNX1",2.49152408944896e-10,-1.197741614493,1.63407415320055e-07,0.999677465682635,0.99999999994277
"INPP4B",2.47674507263789e-10,-1.19879774031424,1.61474591634574e-07,0.999679378864957,0.99999999994277
"PET100",2.46494408519736e-10,-1.19964495987326,1.59939496300455e-07,0.9996809065336,0.99999999994277
"DNTTIP2",2.46449386026034e-10,-1.19967735171293,1.59881075361952e-07,0.999680964816394,0.99999999994277
"EDF1",2.43908915505684e-10,-1.20151343224816,1.56601865047123e-07,0.999684253521834,0.99999999994277
"NSFL1C",2.43700676548093e-10,-1.20166466313808,1.56334579299918e-07,0.999684523092603,0.99999999994277
"HBG1",2.42896110325376e-10,-1.2022500175329,1.55304020888164e-07,0.999685564624593,0.99999999994277
"ZC3HAV1",2.4183412103961e-10,-1.20302522156398,1.53948950605164e-07,0.999686939397463,0.99999999994277
"FAM133B",2.39991061415662e-10,-1.20437756314296,1.51611349202353e-07,0.999689325286288,0.99999999994277
