module_color,variant_id,sensitivity_family,top_n_hubs,scoring_method,label_strategy,coarse_cell_type,n_cells,mean_score,median_score,pct_cells_score_gt0,relative_score_within_module,baseline_top1_cell_type,n_variants_tested,n_variants_agree_top1,subject_timepoint_top1_cell_type,edge_decision,is_formal_edge
lightcyan,hub_top50_mean_all,hub_count,50,mean_log1pCP10K,all_cells,Megakaryocyte,1409,0.122195678369326,0.115458365021873,88.9992902767921,0.3393011000628352,B_Plasma,9,8,B_Plasma,include_descriptive_context_edge,True
lightcyan,hub_top50_mean_all,hub_count,50,mean_log1pCP10K,all_cells,Myeloid,118457,0.085602132426013,0.0800192581987783,85.8159500915944,0.142841524323392,B_Plasma,9,8,B_Plasma,include_descriptive_context_edge,True
lightcyan,hub_top50_mean_all,hub_count,50,mean_log1pCP10K,all_cells,T_NK,334341,0.0892854517371367,0.0855616659060659,92.6045564259244,0.1626161411450912,B_Plasma,9,8,B_Plasma,include_descriptive_context_edge,True
lightcyan,hub_top50_mean_all,hub_count,50,mean_log1pCP10K,all_cells,B_Plasma,105047,0.245260769284581,0.206929120264093,96.1740935010043,1.0,B_Plasma,9,8,B_Plasma,include_descriptive_context_edge,True
lightcyan,hub_top50_mean_all,hub_count,50,mean_log1pCP10K,all_cells,Stromal_Endothelial,349,0.146149903013701,0.131702508490043,91.6905444126075,0.4679040186783567,B_Plasma,9,8,B_Plasma,include_descriptive_context_edge,True
lightyellow,hub_top50_mean_all,hub_count,50,mean_log1pCP10K,all_cells,HSPC,681,0.458494578051238,0.458630126571958,97.6505139500734,1.0,HSPC,9,9,Myeloid,downgrade_subject_timepoint_top1_discordance,False
lightyellow,hub_top50_mean_all,hub_count,50,mean_log1pCP10K,all_cells,Erythroid,208333,0.295463146810198,0.232995331368745,95.8926334282135,0.0,HSPC,9,9,Myeloid,downgrade_subject_timepoint_top1_discordance,False
lightyellow,hub_top50_mean_all,hub_count,50,mean_log1pCP10K,all_cells,Megakaryocyte,1409,0.327034310258391,0.272043150316529,97.1611071682044,0.19365077769277178,HSPC,9,9,Myeloid,downgrade_subject_timepoint_top1_discordance,False
lightyellow,hub_top50_mean_all,hub_count,50,mean_log1pCP10K,all_cells,Myeloid,118457,0.388074750803011,0.377592689320372,98.7463805431507,0.5680598108464612,HSPC,9,9,Myeloid,downgrade_subject_timepoint_top1_discordance,False
lightyellow,hub_top50_mean_all,hub_count,50,mean_log1pCP10K,all_cells,T_NK,334341,0.367199202438771,0.368422785520894,99.6692000083747,0.4400136530882327,HSPC,9,9,Myeloid,downgrade_subject_timepoint_top1_discordance,False
