frame	time_ns	whole_protein_backbone_rmsd_nm	chain_A_backbone_rmsd_global_fit_nm	chain_B_backbone_rmsd_global_fit_nm	chain_A_backbone_rmsd_self_fit_nm	chain_B_backbone_rmsd_self_fit_nm	interface_min_heavy_distance_nm	interface_heavy_atom_contact_pairs_le_0_40_nm	interface_heavy_atom_contact_pairs_le_0_50_nm	interface_residue_contact_pairs_le_0_40_nm	interface_residue_contact_pairs_le_0_50_nm	chain_A_B_com_distance_nm	protein_radius_of_gyration_nm	interface_hydrogen_bond_count	chain_A_sasa_nm2	chain_B_sasa_nm2	protein_AB_sasa_nm2	interface_buried_sasa_total_loss_nm2	interface_buried_sasa_per_side_nm2
22	0.22	0.1208784094133305	0.0787891562232781	0.1504527895115912	0.0659507263955347	0.1473663172120256	0.2660044657956079	70	305	24	46	2.150405257360039	1.781017057779667	8.0	65.835	74.319	118.121	22.033	11.0165
23	0.23	0.115002278657699	0.0759779890129956	0.1426251055202138	0.0636874245028562	0.1380455462159837	0.2769562499348468	78	348	30	46	2.135880309765419	1.7777019834915833	10.0	66.795	73.57	117.727	22.638000000000005	11.319000000000004
24	0.24	0.122247859789811	0.081440782399083	0.1512653979125779	0.0618031801286557	0.1455566615156618	0.2740765745503929	83	325	28	48	2.1396626825194565	1.774939721247716	10.0	67.059	73.394	118.68	21.773	10.886499999999998
25	0.25	0.1323035215168875	0.0827361343623837	0.1663789614194253	0.0615593326713533	0.1601655756175596	0.271798113907398	76	307	27	45	2.150245882340471	1.777702138738967	11.0	66.539	73.271	118.331	21.479	10.7395
26	0.26	0.1457903974370702	0.0969720826114004	0.1804745128354411	0.0754230644096634	0.1702710904236454	0.2767042889808481	70	306	26	43	2.129842613732344	1.7687998590072531	6.0	66.826	72.968	118.362	21.431999999999988	10.715999999999994
27	0.27	0.1297495121384649	0.0914520764434962	0.1578731488001009	0.073732520877792	0.15099885412682	0.2764415455646851	72	300	29	44	2.135577999365004	1.7694943500889984	11.0	64.478	72.953	116.429	21.00199999999998	10.50099999999999
28	0.28	0.1263755252871312	0.0865008616800622	0.1551641885064468	0.0707531732061024	0.1505225880943349	0.2704698688583468	70	334	30	46	2.1212354554620605	1.7646786857643018	9.0	66.558	72.931	118.603	20.88600000000001	10.443000000000003
29	0.29	0.1227656047989012	0.0847211471173887	0.1503620264914403	0.0699087258389298	0.1444865138001932	0.2621698604211911	85	311	29	44	2.127530014085859	1.7669526739312982	9.0	66.045	74.644	120.292	20.39700000000002	10.19850000000001
30	0.3	0.1190460458652267	0.0783623885913823	0.1477858969944502	0.0729439058151683	0.1451920424041568	0.2709851748274002	73	293	24	44	2.1654908333219764	1.7791992184970666	9.0	65.055	73.275	117.408	20.92200000000001	10.461000000000006
31	0.31	0.1173008413640784	0.0732757945096334	0.1475494666515577	0.0650758844225548	0.1409072684578011	0.2687486771034509	97	330	31	48	2.1561536672723127	1.7821328078336447	10.0	65.819	74.891	118.483	22.227000000000004	11.113500000000002
32	0.32	0.1262483563644885	0.0952576845397256	0.1499778428147227	0.0851011508224179	0.1409174495784909	0.2519143981393169	105	376	35	48	2.1561832287982976	1.7833734313048528	12.0	65.243	74.904	116.389	23.758	11.878999999999998
33	0.33	0.117639523148511	0.0924662897305687	0.137438412068431	0.0837295897013556	0.1315815198278404	0.2630793156539746	86	341	28	48	2.153507163114419	1.7807673453836856	12.0	66.347	73.853	117.437	22.76299999999999	11.381499999999996
34	0.34	0.1222013126821867	0.0929451834123336	0.1447181573113808	0.0763567338938901	0.1388068968439479	0.2559260474124782	85	352	28	45	2.1244644836752924	1.7678083201986907	13.0	64.308	74.712	116.785	22.235000000000014	11.117500000000009
35	0.35	0.120632776570596	0.0858847974201907	0.1463022868596966	0.073463592862176	0.1389514686380658	0.2712950261765939	105	353	30	45	2.130351691432104	1.770220974929994	10.0	65.009	74.634	116.811	22.831999999999997	11.415999999999997
36	0.36	0.119072602557234	0.0896851676937418	0.1415491837322776	0.0766518912182393	0.1370711194326194	0.2605804926783316	91	353	31	42	2.1390059252059204	1.77597752317544	12.0	67.04	74.269	119.017	22.29200000000003	11.146000000000017
37	0.37	0.1276111081071369	0.0942084688574527	0.1528379727008319	0.0854627326182933	0.1444605557511185	0.2554578940205018	91	356	30	45	2.1610390449532777	1.7810021021176123	9.0	65.811	75.446	118.456	22.801	11.4005
38	0.38	0.1398502515433689	0.096131981823415	0.171490702285312	0.0838368742653959	0.1661702768064977	0.2705310465074407	102	381	31	46	2.15224168626453	1.7753121670787508	13.0	64.317	73.081	113.87	23.52799999999999	11.763999999999996
39	0.39	0.1368777444925635	0.0804310581466152	0.1744938184387953	0.0631341549555752	0.167899584788526	0.2596166241486595	101	382	29	46	2.13967945164334	1.7722095856880178	12.0	64.605	72.22	113.696	23.12899999999999	11.564499999999995
40	0.4	0.1329174700669224	0.0793814713258089	0.168877376964421	0.0664317741280637	0.1610243300290738	0.2709276308943731	105	353	30	44	2.1519969960311083	1.7773166109797869	11.0	66.211	73.789	116.242	23.758	11.878999999999998
41	0.41	0.1496187150964531	0.0877812549775603	0.1907962463055592	0.0706082130670362	0.1851035346175687	0.2661826968437353	98	343	34	43	2.151506981522597	1.7758966339567457	13.0	65.801	72.794	116.582	22.013000000000005	11.006500000000004
42	0.42	0.1452330784126602	0.1097129453638077	0.1724515229921795	0.0788562786976888	0.1591848342655533	0.2612944033753028	124	402	35	47	2.1191809995767223	1.762944484045334	12.0	65.613	72.439	114.325	23.72699999999999	11.863499999999997
43	0.43	0.1325407843576225	0.0991850927447472	0.1579477139624798	0.0779166922855339	0.1480516094327901	0.268204765304011	99	376	31	48	2.133395865842458	1.771888770554884	13.0	66.251	72.12	116.525	21.846000000000004	10.923000000000002
44	0.44	0.1284825443945749	0.0982241752974444	0.1518480931718895	0.0728351095376701	0.1466894169189279	0.2579569952921897	66	300	22	48	2.1596030836062607	1.7794595138134923	11.0	66.08	73.371	117.53	21.920999999999992	10.960499999999996
45	0.45	0.1229402386645694	0.0877751315913327	0.1489617445318304	0.0808192322721398	0.1448203752774466	0.2707361999145713	84	320	29	45	2.166563589300072	1.775718736676227	11.0	66.082	72.82	117.769	21.13299999999998	10.56649999999999
46	0.46	0.120624321272563	0.0926968028626003	0.1422631137765106	0.0841533173305356	0.1389760888549412	0.2757790235768064	88	359	28	49	2.151444742183409	1.778138839061004	10.0	65.092	73.607	116.031	22.668000000000006	11.334000000000003
47	0.47	0.113109610586611	0.0723016103147603	0.1414865832309238	0.0693023151514979	0.1382411650369801	0.2746140611005184	82	299	30	46	2.1553800147402797	1.7787165681856263	10.0	66.568	74.719	119.076	22.210999999999984	11.105499999999992
48	0.48	0.1182895507784275	0.0857749552282918	0.1425760877182361	0.0724934861334876	0.1347571362999201	0.2734406476556096	63	274	20	48	2.1710240371962763	1.7848888239515446	10.0	66.859	73.836	119.423	21.27199999999999	10.635999999999996
49	0.49	0.1055210564070167	0.0838039734655868	0.122721864431818	0.0653986681596867	0.1144237157781655	0.2690597833391059	75	333	26	50	2.138455175303199	1.7707370256200232	9.0	66.129	72.643	117.112	21.66	10.829999999999998
50	0.5	0.1367042362836369	0.1072811280737464	0.1598210133902886	0.0858367657413096	0.1541868766977495	0.2563476477398757	85	341	28	49	2.143345159998449	1.7710495571307323	9.0	65.83	72.887	116.724	21.99299999999998	10.99649999999999
51	0.51	0.1383297147590771	0.1137790340780147	0.1582564954593734	0.0846708260708488	0.1470966498080908	0.2664149110338645	88	342	29	49	2.132699866378964	1.77092224494249	9.0	66.15	72.905	117.736	21.319000000000003	10.6595
52	0.52	0.1369100712765093	0.1087593382937883	0.1592102917847186	0.0769589237708419	0.1506788267916315	0.2586323541906602	82	320	31	44	2.1467781635797887	1.774464840793047	11.0	66.114	73.271	117.203	22.181999999999988	11.090999999999994
53	0.53	0.1417297758707267	0.1130185679343624	0.1645334400323899	0.0829754330320709	0.154313304684101	0.2552846172797688	101	331	34	47	2.1482611036308805	1.7760863230617083	11.0	65.964	72.994	117.194	21.764	10.881999999999998
54	0.54	0.1519799682375707	0.12046108697394	0.1769103484532007	0.0758135560184055	0.1672305069669592	0.2744194978913004	104	366	34	50	2.111893313119432	1.7607743199730688	12.0	66.411	71.816	116.959	21.268	10.634
55	0.55	0.1369441181531206	0.0873241239503161	0.1714044312911951	0.0740721198616272	0.1677800880858596	0.2788512211728152	94	329	31	49	2.125758766295507	1.7661835779403048	10.0	66.557	70.739	114.758	22.538	11.268999999999998
56	0.56	0.1269897563538603	0.0863423063163775	0.1562252126050592	0.0705611298766354	0.1527796738135491	0.2759293152858445	87	329	31	49	2.133343887998381	1.7729693243925102	10.0	66.409	72.996	116.553	22.852000000000004	11.426000000000002
57	0.57	0.1255155353055116	0.0912847646137837	0.1511302292698148	0.0824451911784674	0.1445374305798811	0.2632809662952242	87	328	30	47	2.148518215175061	1.7759545153551213	12.0	65.859	72.709	116.621	21.94699999999999	10.973499999999994
58	0.58	0.1164413263986441	0.0848387554480938	0.1401155725572524	0.0738804281207553	0.1339654830846572	0.2597922418046768	87	353	35	47	2.109729347840076	1.7673924339821965	10.0	63.709	73.649	115.455	21.90300000000001	10.951500000000005
59	0.59	0.1209229839460678	0.1033069558114374	0.1356247674835672	0.0932507027183756	0.1280425546353691	0.272405995205567	110	403	38	48	2.091400035737683	1.7600095084612768	12.0	62.876	74.865	115.144	22.59699999999998	11.29849999999999
60	0.6	0.1098390053292571	0.0931601841709129	0.1236832125221144	0.0832336659965138	0.1153743221669833	0.260671970885494	108	383	36	47	2.0906674228659297	1.7587092418127417	10.0	63.16	73.543	113.815	22.888000000000005	11.444000000000004
61	0.61	0.1165736155171287	0.10095245193768	0.1297459404958071	0.087617009626996	0.1222584254889028	0.258577257332897	88	365	31	52	2.1123197527257416	1.7627602744714952	12.0	63.361	73.906	115.912	21.35499999999999	10.677499999999997
62	0.62	0.1155236372803533	0.1068315350904952	0.1232525376719055	0.1018046444333463	0.1186061795431903	0.2492830610907631	119	407	33	48	2.114678929518755	1.767023007847674	10.0	64.175	74.349	114.989	23.535	11.767499999999998
63	0.63	0.1035764400524644	0.0899936213123654	0.1150591369477777	0.0725402180697855	0.1074055797263122	0.2616767338956877	106	383	33	48	2.1185906473621965	1.7689705741481478	11.0	65.087	74.887	117.315	22.658999999999992	11.329499999999996
64	0.64	0.1069285280035178	0.0933606374803267	0.1184420756093001	0.0776852237555207	0.109309403161991	0.2672246436431519	91	364	36	50	2.113488961492268	1.7692264123380863	10.0	63.888	74.46	115.52	22.82799999999999	11.413999999999994
65	0.65	0.1151782273520583	0.093347299661435	0.1327132550114216	0.0739555884814123	0.1259418703225504	0.2656991301290692	100	375	34	50	2.139888905099453	1.775955775004805	8.0	64.808	74.072	117.136	21.744	10.872
66	0.66	0.1202240430083042	0.0962808738029903	0.1392968131220202	0.0840614471270442	0.1318664366531643	0.2560437456572582	75	333	27	47	2.11676743851839	1.7663208470218996	9.0	63.646	74.627	115.546	22.72699999999999	11.363499999999997
67	0.67	0.1060700544387771	0.0866584198083975	0.1217502746614974	0.0798567051800817	0.1143490551425525	0.2564543954018201	98	360	31	48	2.1428453763009907	1.7771816742407254	11.0	64.9	72.956	116.385	21.47099999999999	10.735499999999996
68	0.68	0.1231766631564432	0.1041580720058887	0.1389276104856674	0.0740037560789889	0.124740042965203	0.2704550766475879	94	356	33	48	2.1057844688431087	1.765568536882964	11.0	64.426	73.39	115.373	22.443	11.2215
69	0.69	0.1108459359105904	0.0957515059536083	0.1235495988755081	0.0866782638473518	0.1189364047958475	0.2644277096427844	100	358	35	47	2.12342602116797	1.769922498011559	11.0	64.194	74.79	117.472	21.51200000000001	10.756000000000007
70	0.7	0.1128301305104302	0.0876866159280106	0.1324564759786565	0.0815463429912884	0.1288551169732019	0.2606931350162774	107	367	37	50	2.1495180925458537	1.780338305237239	11.0	64.011	74.569	116.048	22.531999999999982	11.265999999999991
71	0.71	0.117389489213534	0.0998526990204135	0.1319773692104534	0.0912340261071424	0.1258544556076207	0.2718146551581878	98	364	33	49	2.1463482781379373	1.777290156711654	12.0	65.093	73.769	116.714	22.148000000000025	11.074000000000012
72	0.72	0.1107166965249289	0.0978784570369729	0.1217180296378751	0.0879175754278738	0.1156325384952395	0.2629216877971314	112	374	36	47	2.1476469039783765	1.7805719360729118	11.0	64.176	75.181	117.891	21.465999999999998	10.732999999999995
73	0.73	0.1141068480180815	0.088777013027907	0.133893158126431	0.0805325155086865	0.1247313514056962	0.2601556530883875	100	375	35	46	2.137259360132748	1.7773423288790346	10.0	63.679	73.653	116.015	21.316999999999997	10.658499999999997
74	0.74	0.1271948388189329	0.08645721341538	0.156490452591721	0.0781405025867979	0.1456505185753485	0.2613374183368574	105	378	33	49	2.147926320976592	1.7801869200109477	11.0	63.898	73.983	115.825	22.056	11.028
75	0.75	0.135605885290973	0.1247553102811401	0.1452118528343701	0.1199927792609355	0.1361070162647077	0.2642028209184688	99	372	28	49	2.168160579035189	1.7876659868810356	11.0	64.73	77.086	119.521	22.295	11.1475
76	0.76	0.1214815892858653	0.1159782858006841	0.1265132085190115	0.1100585489342455	0.1203523757541842	0.2717371599028785	81	311	29	48	2.165145686056076	1.7853091128286196	11.0	64.377	73.449	115.908	21.917999999999992	10.958999999999996
77	0.77	0.124248059339647	0.1100687846880479	0.1364185680730436	0.1015034571613803	0.1292904585775602	0.2722407111370479	111	390	34	50	2.122704170952889	1.773541696520677	9.0	63.597	76.325	116.61	23.312	11.656
78	0.78	0.1193935792475259	0.1127140809401758	0.1254400083166195	0.104498749000724	0.1199106424079265	0.2715821828557433	115	373	34	45	2.134199371768632	1.7761154058604476	9.0	64.404	76.296	117.62	23.079999999999984	11.539999999999992
79	0.79	0.1298247733531785	0.1125223739889609	0.1444242023704554	0.0973709817722241	0.1397032547014791	0.2706919970090383	85	324	30	45	2.136017457767632	1.7795660385313858	10.0	63.509	74.066	115.749	21.825999999999997	10.912999999999997
80	0.8	0.1195107827417425	0.1103173914839689	0.1276727730774185	0.1065112018550087	0.1236160401861088	0.2672139384071919	100	338	30	47	2.1463693646394804	1.7804016786770014	14.0	65.895	75.903	118.306	23.492000000000004	11.746000000000002
81	0.81	0.121719103037278	0.1006390633968492	0.1388929152191491	0.0952516619876508	0.1235665577071836	0.2652960373533573	99	369	33	51	2.131423980559692	1.7700894449150784	12.0	64.941	74.111	115.246	23.806000000000022	11.903000000000011
82	0.82	0.1116310883833963	0.0914165871698971	0.1279871177082027	0.084250406302606	0.1120636447224765	0.26679945039318	96	356	33	49	2.148078311068484	1.7803755320651553	11.0	64.515	74.031	116.541	22.004999999999995	11.002499999999998
83	0.83	0.1120662343168289	0.1069814310547625	0.1167149094509977	0.0988245522705715	0.108225780273773	0.2550768892437658	100	363	36	50	2.1320587378984834	1.7732068148226583	11.0	63.971	75.085	115.661	23.394999999999985	11.697499999999993
84	0.84	0.1069753650899262	0.0959606919013475	0.116525052077664	0.0895892941177551	0.1086919471586233	0.251700601246222	102	332	34	48	2.1569575523373112	1.782531254184923	12.0	64.766	74.599	117.378	21.98700000000001	10.993500000000004
85	0.85	0.1170213940796632	0.1090969568608761	0.1241167623807322	0.0987765920323726	0.1099175133861668	0.2560533729689814	100	373	34	49	2.1406469690565983	1.77894171440231	12.0	66.768	73.48	117.507	22.740999999999985	11.370499999999993
86	0.86	0.1096813765406975	0.099040886972215	0.1189564825585941	0.0900639920805734	0.1071455537576811	0.2674167251552604	91	371	33	47	2.131145290277776	1.771878694709491	9.0	67.25	72.377	116.977	22.65000000000001	11.325000000000005
87	0.87	0.1218124715266082	0.1121265079128181	0.1303913478349431	0.1015282622547718	0.1143355738505554	0.2543558743498445	90	341	31	48	2.13329608483584	1.775305814793105	9.0	66.97	74.786	119.291	22.465000000000003	11.232500000000002
88	0.88	0.1256272384541287	0.1109108671920071	0.1382245660227281	0.0976080045557313	0.1205020632485216	0.2684211957099068	93	375	30	53	2.1602002124450235	1.7865173501010383	9.0	66.3	74.907	118.055	23.151999999999987	11.575999999999992
89	0.89	0.1103860438457542	0.1058083200723017	0.114586543840797	0.1013884441049959	0.1098975217105075	0.2675257978318998	99	380	37	50	2.136022365967789	1.7754425551152622	11.0	66.813	74.189	117.621	23.38100000000001	11.690500000000007
90	0.9	0.12279717916012	0.111758456598966	0.1324818785234831	0.1035330335079138	0.1122079765696891	0.2593339976762602	93	343	32	49	2.1708343134206194	1.7870542014540842	8.0	66.512	73.31	118.536	21.286	10.643
91	0.91	0.1165241749523934	0.1081362278724154	0.1240050266708894	0.0998379753230606	0.1075330820360346	0.2616502775691264	96	368	34	51	2.1134714951655806	1.7680138175362303	13.0	65.449	73.143	115.818	22.773999999999987	11.386999999999992
92	0.92	0.1108552832146467	0.1040373288192277	0.1169951969545172	0.0992173849583017	0.1035457483228899	0.270359183038494	91	349	33	49	2.126693064957654	1.776836567832169	10.0	67.475	74.436	118.731	23.180000000000007	11.590000000000003
93	0.93	0.1051156865990548	0.0995428867782014	0.1101741259479292	0.0960836605621656	0.1059864021995214	0.2709410531292335	90	345	37	51	2.1475539913931883	1.779700898486728	12.0	65.859	74.622	117.697	22.783999999999992	11.391999999999996
94	0.94	0.1046806767687088	0.0998329078198329	0.1091087469749018	0.0942428362071438	0.1056412338802013	0.267449017899901	96	336	32	47	2.137400770787083	1.775086094172709	11.0	65.667	72.506	115.527	22.646	11.323
95	0.95	0.1061347619936493	0.1130969024545532	0.0990311793746253	0.1063148949747809	0.0907438933446194	0.2506591500474384	104	391	31	53	2.131976098950422	1.770975367933796	11.0	65.638	72.709	116.987	21.360000000000014	10.680000000000009
96	0.96	0.1116170800718587	0.1180239144602252	0.1051357401174898	0.1132159477506603	0.0898639741696925	0.262368450012014	92	376	29	50	2.137437588300052	1.7769622211496858	12.0	65.574	73.264	116.366	22.471999999999998	11.235999999999995
97	0.97	0.120026131987636	0.1174207868998497	0.122462134357806	0.1001503221780595	0.1034243193356909	0.2551290406559225	107	405	34	53	2.119106229988714	1.7739538702230984	11.0	64.65	74.464	116.08	23.03400000000001	11.517000000000005
98	0.98	0.11360067759389	0.1142243999435866	0.1130019012610296	0.1009898032394232	0.099416431370864	0.2688011634965685	104	395	34	53	2.1178743467811456	1.7729702643211742	12.0	66.221	73.2	115.38	24.041	12.020499999999998
99	0.99	0.1164096692114896	0.0986307798797626	0.1311555845297093	0.0909818029047496	0.1255509263617208	0.2528656538020268	92	355	32	50	2.1380625749481235	1.7757185351021387	13.0	64.887	71.679	113.739	22.827	11.4135
100	1.0	0.1199791155659218	0.0959201526757543	0.1391215096515647	0.0894925916188171	0.1285187608016683	0.2725673944157784	87	365	27	53	2.142907589580455	1.7778141269666357	10.0	65.776	72.537	114.739	23.573999999999984	11.786999999999992
101	1.01	0.1239118332387222	0.1059797707787055	0.1388900960128013	0.0945126466722154	0.1242011110618387	0.2687485770880327	96	360	30	51	2.1560724925355563	1.7837728332236351	11.0	67.992	72.77	117.925	22.837000000000003	11.418500000000002
102	1.02	0.1446245266855749	0.1107105279070969	0.1708354219837361	0.0989704354780817	0.1587515147708028	0.2557382400024445	99	347	30	50	2.149671509231396	1.7841036607379426	12.0	64.891	72.411	114.461	22.841000000000022	11.420500000000011
103	1.03	0.139581300230596	0.1141793433618029	0.1601185177679291	0.1042116242490089	0.1504709808684056	0.2567569763812928	96	350	31	45	2.1590926016267376	1.7870823717148734	10.0	67.453	72.67	118.04	22.082999999999984	11.041499999999992
104	1.04	0.1476726501649492	0.1145296911759556	0.1735080421981434	0.1010431063903268	0.1564882193920492	0.2617896632297998	117	389	33	48	2.149699372298336	1.782437075924706	10.0	67.466	72.0	116.904	22.56200000000001	11.281000000000006
105	1.05	0.1347840881418823	0.110840468520604	0.1542153595019142	0.101432199760394	0.1476410515163067	0.2659058380823503	91	357	30	50	2.1412327323442644	1.7800870656151884	13.0	67.928	70.977	115.034	23.870999999999995	11.935499999999998
106	1.06	0.1335335051130053	0.1125013851782761	0.1509046535434277	0.0939846788059719	0.1372072128923018	0.268250086536174	112	384	33	49	2.117925444130941	1.7718437902785855	14.0	65.73	71.665	114.808	22.587000000000003	11.293500000000002
107	1.07	0.1399070914212789	0.1065051691163448	0.1656292571130127	0.0941816736033532	0.153469477859154	0.2657476894742602	103	370	36	50	2.125008059116707	1.771845603161271	14.0	67.035	72.774	117.215	22.593999999999998	11.296999999999995
108	1.08	0.1443741417436966	0.1208220486071343	0.1637309839094106	0.1099948991713811	0.1599196200160353	0.2704844020137135	97	352	33	48	2.1303503458955806	1.77500825974738	13.0	66.131	73.298	117.658	21.771	10.8855
109	1.09	0.1484539565102545	0.1277419729119936	0.1658338866239611	0.1078780662506779	0.1604552820145646	0.2703718994935119	100	357	31	45	2.137399285657924	1.7752388484846668	10.0	65.727	72.82	116.172	22.375	11.1875
110	1.1	0.14907084959618	0.1113292247105785	0.1777817246435593	0.0964441477541667	0.1678911883879962	0.2585982004861143	106	381	35	49	2.1235649597759503	1.774878651173302	12.0	66.317	71.707	115.179	22.845	11.4225
111	1.11	0.1551306519052427	0.1062121378500286	0.1904543035026651	0.0934972545371674	0.1746304521704952	0.2633686713888559	106	390	38	47	2.1189960562800265	1.7728489338088067	12.0	66.535	72.682	115.136	24.08099999999999	12.040499999999994
112	1.12	0.1403342533168625	0.1066469657233909	0.1662474164996131	0.0923434168485165	0.1570054096984163	0.2691631757875532	92	337	31	47	2.14569605328607	1.7865599115616828	11.0	67.908	72.548	118.757	21.69900000000001	10.849500000000006
113	1.13	0.1377372850856133	0.1086765730057326	0.1606525066144838	0.1017342783460099	0.152926668263621	0.260577928448712	90	363	30	50	2.127959378823311	1.778922984066868	12.0	67.442	73.581	118.257	22.76599999999999	11.382999999999996
114	1.14	0.1310658688241784	0.105408129985607	0.1515642680869446	0.0937244821623094	0.142877331033129	0.2589171111823675	104	392	37	47	2.11825799320398	1.7698826887583592	12.0	66.789	72.624	115.907	23.50600000000001	11.753000000000007
115	1.15	0.122144820964283	0.1145908115604046	0.1289454320511595	0.0968501380723131	0.1163668907237293	0.2655520002948467	99	390	33	51	2.106376532731195	1.768091982176904	11.0	66.933	73.488	117.198	23.223	11.6115
