frame	time_ns	whole_protein_backbone_rmsd_nm	chain_A_backbone_rmsd_global_fit_nm	chain_B_backbone_rmsd_global_fit_nm	chain_A_backbone_rmsd_self_fit_nm	chain_B_backbone_rmsd_self_fit_nm	interface_min_heavy_distance_nm	interface_heavy_atom_contact_pairs_le_0_40_nm	interface_heavy_atom_contact_pairs_le_0_50_nm	interface_residue_contact_pairs_le_0_40_nm	interface_residue_contact_pairs_le_0_50_nm	chain_A_B_com_distance_nm	protein_radius_of_gyration_nm	butin_heavy_rmsd_after_protein_fit_nm	protein_butin_min_heavy_distance_nm	protein_butin_heavy_contact_pairs_le_0_40_nm	pocket_butin_min_heavy_distance_nm	pocket_occupied_le_0_50_nm	pocket_occupied_le_0_40_nm	pocket_butin_com_distance_nm	interface_hydrogen_bond_count	chain_A_sasa_nm2	chain_B_sasa_nm2	protein_AB_sasa_nm2	interface_buried_sasa_total_loss_nm2	interface_buried_sasa_per_side_nm2	protein_butin_hydrogen_bond_count	protein_butin_surface_sasa_nm2	butin_sasa_nm2
885	8.85	0.1286531962814573	0.1235695229191545	0.13332657233364	0.1041666594881145	0.1112045517462783	0.2611533638955921	88	346	29	49	2.199877790791116	1.793985104587564	0.1366332239523296	0.2819873891998393	56	0.2889111723157252	1	1	0.2305979265300898	15.0	64.884	70.792	110.784	24.89199999999998	12.44599999999999	2.0	109.13	0.027
886	8.86	0.1344702720398374	0.1255761784508759	0.1424454726668747	0.1097093733934925	0.1262054856121774	0.2628182382161766	79	324	26	48	2.2041842439656256	1.7892639230129768	0.1270527855281849	0.2703056089421045	62	0.310544601760966	1	1	0.2406681887218308	13.0	65.227	71.941	111.96	25.208000000000013	12.604000000000006	3.0	110.113	0.0
887	8.87	0.1237947435540061	0.1197025621904837	0.1275797314752149	0.1079018141314491	0.1139121665911922	0.2501221246184634	97	369	30	52	2.191627933112455	1.7922688162721694	0.1061240707814379	0.2875642086227249	67	0.2945948347085818	1	1	0.2185478179348883	14.0	65.385	70.942	110.663	25.664	12.832	3.0	109.079	0.033
888	8.88	0.1208855788356048	0.1216320194794356	0.1201685102848161	0.1107397173796563	0.1101253760962468	0.2689999152328842	91	375	31	51	2.1662815076979336	1.7793768965006866	0.1439011017814425	0.3105899355579178	62	0.3105899355579178	1	1	0.1644523790786777	15.0	64.435	70.648	109.085	25.998000000000005	12.999000000000002	2.0	107.382	0.027
889	8.89	0.1273795568458254	0.1293384776577329	0.1254805365492987	0.1112881175346178	0.1119433038295132	0.2736970347956933	98	368	33	48	2.1827755399670727	1.7831540388125315	0.144233728152327	0.2771229389112489	48	0.2876716836309422	1	1	0.2143883205376235	12.0	65.909	71.138	111.56	25.487000000000023	12.743500000000012	2.0	109.867	0.0
890	8.9	0.1330551167975449	0.1340071595731196	0.1321396540147776	0.1125565380047301	0.1168634911461931	0.2652942459595613	94	368	32	51	2.1581794190350365	1.777403318539907	0.1385573772581788	0.2809219661188512	64	0.2809219661188512	1	1	0.2075533469354976	14.0	65.762	71.299	110.557	26.504000000000005	13.252000000000002	3.0	108.764	0.0
891	8.91	0.1323834978171633	0.1326753239786017	0.1321042449912349	0.1186569082581836	0.1236471836571648	0.2776649578952329	74	358	26	50	2.1844274104552204	1.7834984081996097	0.171905471439706	0.2774795426553516	58	0.2774795426553516	1	1	0.211546657044367	15.0	65.198	70.077	109.856	25.418999999999983	12.709499999999991	3.0	108.416	0.0
892	8.92	0.121185575949071	0.1296213007548534	0.112542101735354	0.1240552314039223	0.1102640376565877	0.2506712362047133	96	402	32	49	2.145609960665336	1.7717403487168697	0.1079559962072791	0.268309251266006	62	0.2770740819741208	1	1	0.1951681227910253	13.0	65.738	69.076	108.653	26.160999999999987	13.080499999999994	3.0	106.936	0.0
893	8.93	0.1386672897182756	0.1515248643408697	0.1251634928882191	0.1391940489327691	0.1157868542957978	0.2627888649667517	98	393	35	48	2.1768991621099905	1.7810076468295524	0.1781558642879228	0.2631802414885079	52	0.2946423511783085	1	1	0.2391827179781917	13.0	66.755	71.295	111.477	26.573000000000008	13.286500000000004	3.0	109.268	0.0
894	8.94	0.1450141073250073	0.1606090452720534	0.1283670299711137	0.1404020431595238	0.11645097574304	0.2632620029149464	97	421	31	49	2.1703575539691125	1.7792656113379066	0.1375826444881157	0.2724149308957274	61	0.2841990401079396	1	1	0.1933383012620644	16.0	66.605	71.71	111.818	26.497	13.2485	3.0	110.042	0.033
895	8.95	0.1416761883134644	0.1485838813185969	0.1347502701634493	0.1275200407101862	0.1221858965131764	0.2698816081751477	90	364	28	50	2.1895296173653014	1.7860233495348712	0.1357486382864509	0.3006013443581075	51	0.3006013443581075	1	1	0.1940877768816882	14.0	65.395	69.787	109.51	25.67200000000001	12.836000000000006	3.0	107.298	0.0
896	8.96	0.134609932151807	0.1424551576368272	0.1266662085019025	0.1280414328598061	0.1193887444317046	0.2679459616195201	84	371	29	48	2.183083391292042	1.7844520809395863	0.1380159105874564	0.283903199490596	62	0.2977849725534963	1	1	0.2134862872356866	14.0	67.598	70.803	112.55	25.851000000000013	12.925500000000008	3.0	110.589	0.0
897	8.97	0.1325362164769372	0.1460110540397922	0.1182451785099886	0.1375965382273322	0.1136479581777265	0.2754811711177794	96	431	34	54	2.1639903865908536	1.7786655404123288	0.1257558664932532	0.2731024071481355	66	0.2949339284411344	1	1	0.2244510546079862	15.0	66.025	70.606	111.115	25.516000000000005	12.758000000000004	3.0	109.279	0.0
898	8.98	0.1264921324671	0.1267311811111214	0.1262634536955927	0.1129382304535966	0.1165728132631223	0.2670371625708618	124	424	36	52	2.135542257183248	1.7655821625778163	0.1074742047659058	0.2741351006769604	67	0.282419635058627	1	1	0.2111109109651887	15.0	65.673	69.51	108.995	26.187999999999988	13.093999999999994	2.0	107.191	0.0
899	8.99	0.1299646421766931	0.1420787144100367	0.1172349724664473	0.1320763414025477	0.1102590768456196	0.2800182765518099	93	367	31	51	2.1657209887594613	1.7778290462518047	0.1260499498751906	0.2871395437378178	67	0.2944113378600287	1	1	0.2204158644184126	12.0	65.316	69.933	109.985	25.264000000000024	12.632000000000012	3.0	108.166	0.053
900	9.0	0.1337977517021836	0.1403298536303475	0.127247986075681	0.1221983666121732	0.1174898006482947	0.2568331082520043	100	377	33	51	2.156784169610217	1.7746435301350434	0.1332949865551551	0.2618112408141328	60	0.2940666453945516	1	1	0.2082898934977539	16.0	66.272	72.196	112.896	25.572000000000017	12.786000000000008	3.0	111.081	0.053
901	9.01	0.1241970198940563	0.1266216168888788	0.1218368618369253	0.1176742715124038	0.115654367292499	0.259215746787576	84	383	28	48	2.1746514167820834	1.7785613377520657	0.1218898509852453	0.2760904702071141	66	0.2806578062955052	1	1	0.2384493975503782	14.0	65.451	71.514	110.818	26.146999999999977	13.073499999999989	3.0	109.052	0.0
902	9.02	0.1174358207757534	0.1237492649495441	0.1110729883234041	0.1147977767456096	0.1063124543768236	0.2485594695240754	105	418	33	50	2.152090204630925	1.770139094955976	0.1595763772762203	0.2801052427762466	69	0.2801052427762466	1	1	0.2187451373215413	15.0	64.78	70.14	109.787	25.13300000000001	12.566500000000003	3.0	108.179	0.0
903	9.03	0.1223542443400763	0.1260205573842515	0.1187478540222957	0.1177511547287635	0.1129696267584136	0.2574292767607843	86	387	26	51	2.1688382631945857	1.780033952351623	0.1460101603908707	0.2807501998178829	65	0.2807501998178829	1	1	0.2225382270174616	14.0	65.315	71.297	110.124	26.488	13.244	3.0	108.432	0.0
904	9.04	0.1237044877267786	0.1257616038880522	0.1217077975529341	0.1143875995518643	0.1134336431687133	0.2705718790861222	69	361	26	50	2.177384717496297	1.784023797979729	0.1925508621367779	0.2712089045188917	60	0.2712089045188917	1	1	0.2438252018608235	15.0	66.958	72.263	112.688	26.533	13.2665	3.0	110.795	0.0
905	9.05	0.1306550860644173	0.140491118445628	0.1205162027114979	0.1274797669594282	0.1111729076826441	0.2724065043939252	95	412	28	52	2.151996811837918	1.7755531822737445	0.1432715969620231	0.2810936146855894	59	0.2810936146855894	1	1	0.2192830901478449	14.0	66.108	72.034	111.228	26.914	13.457	3.0	109.548	0.06
906	9.06	0.1261155765388366	0.1309638088821301	0.1213055153678027	0.1244051380203977	0.115627477704781	0.2690318620327386	95	363	31	48	2.1563410412531523	1.7764721725668884	0.1584618554338387	0.2849441182310702	70	0.2849441182310702	1	1	0.2096358814873259	15.0	65.376	71.827	110.994	26.209000000000003	13.104500000000002	3.0	109.242	0.027
907	9.07	0.1273540950139436	0.1222595561567601	0.1320352997661347	0.1138379843543576	0.1236287303558948	0.2447568304915555	101	405	34	51	2.159030542527338	1.7762198553920736	0.1093771788571369	0.2789440397271444	66	0.2967640724746956	1	1	0.2144761793024001	15.0	66.33	71.853	111.976	26.206999999999997	13.103499999999997	3.0	110.132	0.0
908	9.08	0.1297047211357399	0.1284063109664636	0.1309324958561683	0.1169703562673945	0.1246273704661891	0.2646847964739962	103	407	31	50	2.1791235822558983	1.784701550818167	0.1574918806057763	0.2811351860885368	48	0.2905599115935242	1	1	0.2129408463984592	16.0	66.738	70.433	110.397	26.773999999999987	13.386999999999992	3.0	108.7	0.0
909	9.09	0.1212872552425175	0.1148355287291631	0.1271425239768919	0.107747429110516	0.1237953777098423	0.2715384569757476	107	372	35	51	2.155214872203681	1.771064748538399	0.137341544637132	0.2673238682503985	67	0.2963680824193777	1	1	0.1793193741261716	14.0	64.601	70.314	109.201	25.714	12.857	2.0	107.532	0.0
910	9.1	0.1255283374045778	0.1316272076103638	0.119414452405196	0.1180418449692499	0.1134498858358966	0.2765980290332405	111	428	35	50	2.136265444388709	1.7698362490165973	0.1332909875314131	0.2821718454804302	67	0.2855664046672956	1	1	0.1678902435437649	16.0	64.056	72.455	109.844	26.667	13.3335	2.0	107.9	0.064
911	9.11	0.1261605924830825	0.1171586305769795	0.1341937342892286	0.1142123144550102	0.1318187049178051	0.2675779313446565	92	377	33	49	2.1579206427807858	1.7768133967350976	0.142390501627964	0.2910206251142517	63	0.2910206251142517	1	1	0.1704422082131212	13.0	66.273	70.834	110.931	26.176	13.088	2.0	109.101	0.0
912	9.12	0.1226190946821985	0.1156128159673017	0.1289542797988543	0.109050946507577	0.1232095984201805	0.2583124012859517	100	430	32	51	2.1626830576114044	1.7739826548844448	0.1265464233848325	0.2703032989850257	76	0.2819650123205571	1	1	0.2016892467372997	13.0	66.177	71.362	111.449	26.08999999999999	13.044999999999996	2.0	109.7	0.091
913	9.13	0.1211081606068863	0.119572258445873	0.1225567588145542	0.1151918278514078	0.1187719133273521	0.2650401985931294	108	415	31	50	2.1513182220866844	1.7696114307440116	0.1243421509827608	0.2579573239722308	61	0.2958009080815335	1	1	0.1984915915864426	15.0	64.517	70.819	109.466	25.87000000000002	12.93500000000001	2.0	107.928	0.0
914	9.14	0.1276852128890567	0.1307770611117845	0.1246614029954486	0.1227445811090234	0.115326144315367	0.2649644670249346	95	395	34	51	2.170131817548589	1.7802754029225938	0.147504954136709	0.2679124041587583	75	0.3029358404618488	1	1	0.1818135627810879	14.0	65.891	70.457	110.129	26.21900000000001	13.109500000000004	2.0	108.54	0.0
915	9.15	0.1237471306787572	0.12300012544548	0.1244562265650454	0.1163793267241118	0.1198552344596793	0.2589167475907229	82	377	27	51	2.158273408990028	1.7719768817896815	0.1538491520331776	0.2685330591114111	64	0.291281410785616	1	1	0.200340431044167	14.0	66.883	68.785	109.539	26.129000000000005	13.064500000000002	2.0	107.773	0.038
916	9.16	0.1265054115343973	0.126582860984583	0.1264314143939146	0.1136116576466236	0.1201519651054537	0.2719411724802045	93	377	29	49	2.175499585291193	1.777852705498293	0.1454154665969109	0.2812629038397529	71	0.2897620752742189	1	1	0.1980298151188474	14.0	67.282	70.31	111.216	26.37599999999999	13.187999999999995	2.0	109.614	0.0
917	9.17	0.1250824756505435	0.1216090615487042	0.1283113520716046	0.118784079148892	0.1264443644472519	0.2696405042832117	98	400	31	48	2.176568732598709	1.7842233650952888	0.1358877487063099	0.2741314820344475	52	0.278010902320458	1	1	0.18358195136699	15.0	69.067	70.119	113.147	26.038999999999973	13.019499999999988	2.0	110.807	0.038
918	9.18	0.1297294394823242	0.1278728168390199	0.1314777749932474	0.1231887311115923	0.1288749169509115	0.2729841571887542	80	382	27	49	2.1835782541849893	1.784113691701019	0.1593637445196608	0.2814054773936507	63	0.2842292452639267	1	1	0.1844750847083069	16.0	68.019	71.135	111.95	27.203999999999997	13.601999999999997	2.0	110.108	0.0
919	9.19	0.1286752438033002	0.1243287019950358	0.1326927394066981	0.1160786526142521	0.1256090441960815	0.2602098966797709	95	379	34	50	2.179091023816366	1.7811503049540889	0.1194269569202824	0.2891693996684749	60	0.3006799563262395	1	1	0.1942873419707488	16.0	65.356	71.412	111.15	25.617999999999995	12.808999999999996	2.0	109.494	0.0
920	9.2	0.1318744522680969	0.1338971128133454	0.1299137207235519	0.123860800287116	0.1229724897362808	0.2673685563526468	84	406	33	53	2.139306818689397	1.768027371419127	0.1232776827154614	0.2914672615066702	65	0.2914672615066702	1	1	0.1550589925049697	13.0	65.557	71.424	110.286	26.694999999999997	13.347499999999997	2.0	108.528	0.0
921	9.21	0.1238860753948068	0.1311510369095726	0.1165271397481918	0.1269835977196748	0.1130215432087633	0.2658312287784076	89	397	31	50	2.1442704859555697	1.7704872003744316	0.1398973759363561	0.2592315098070137	65	0.2748102527510012	1	1	0.1847680474079335	12.0	65.679	71.728	110.389	27.017999999999983	13.508999999999991	2.0	108.748	0.0
922	9.22	0.1232062628650831	0.1294259846285373	0.1169590529907918	0.1232179842636583	0.1110904722453847	0.2570833336119468	109	425	36	51	2.144746130164973	1.7700617114593402	0.1197580476907213	0.2866933951591451	65	0.2866933951591451	1	1	0.2148147033514706	15.0	66.849	70.735	111.226	26.358000000000004	13.179000000000002	2.0	109.443	0.0
923	9.23	0.1256048943397236	0.1337060845255832	0.1173486382462743	0.1255381141979178	0.1118207779856494	0.2539569487367134	90	396	34	49	2.154179187600871	1.7726235310766962	0.1747176297704264	0.269736985319907	73	0.269736985319907	1	1	0.1737252110424721	12.0	66.589	70.872	111.24	26.221000000000014	13.110500000000007	2.0	109.506	0.06
924	9.24	0.1278973811724948	0.1365310334155913	0.1190706779388938	0.129769104415225	0.1137993526333703	0.2681302543519746	94	407	35	49	2.1741294165527068	1.7822115083663062	0.1054229647096801	0.2924077614148501	67	0.2924077614148501	1	1	0.1747397399779567	15.0	67.981	71.902	113.072	26.81099999999998	13.40549999999999	2.0	111.191	0.0
925	9.25	0.1271646139530791	0.1214439238165339	0.132396537781417	0.1124205999885793	0.1262475403834845	0.2760621669177759	88	389	31	52	2.1687014224587235	1.7812800476923163	0.1284368246632398	0.2780393607419535	68	0.2905852484289689	1	1	0.2274463524841759	15.0	67.305	70.806	112.479	25.63199999999999	12.815999999999995	2.0	110.685	0.0
926	9.26	0.1309240704177992	0.1267893330243644	0.1347537833824734	0.1198048235792236	0.1292789526942125	0.2683817656808485	103	408	35	51	2.148840857078772	1.7723575197551245	0.1530454648123618	0.2758404050082755	55	0.2849666607595297	1	1	0.2111798668525192	16.0	65.624	71.267	110.421	26.469999999999985	13.234999999999992	2.0	108.427	0.151
927	9.27	0.1252297578618806	0.1215193230674004	0.1286728592493068	0.1104404945283452	0.1191977989126237	0.2522695928319542	81	342	28	46	2.1896308703471137	1.7880890437934405	0.1242298074871108	0.2927080351413141	66	0.301446930581885	1	1	0.1920358039059024	16.0	65.978	71.936	112.293	25.62099999999998	12.81049999999999	1.0	110.179	0.0
928	9.28	0.1296166565546169	0.1226951314864692	0.1358970808172196	0.1159999241329243	0.1284181472503063	0.2653782158986485	93	368	33	53	2.15430014369609	1.7747843663533387	0.1237040110196648	0.2869508723895682	56	0.2869508723895682	1	1	0.2026133353099542	18.0	64.687	70.108	109.25	25.545000000000016	12.772500000000008	2.0	107.112	0.087
929	9.29	0.1259492089658593	0.1217821155872769	0.129803378045522	0.1137080377007152	0.1223420101418721	0.2678100637766562	100	418	36	54	2.146754058670296	1.7727371584222844	0.1367785481959038	0.2860033411766592	62	0.2860033411766592	1	1	0.2465145110873772	14.0	66.57	70.475	110.599	26.445999999999984	13.222999999999992	2.0	108.866	0.053
930	9.3	0.1262429913473027	0.1267988996731963	0.1257098861439142	0.1175075117270759	0.1206429560484978	0.257486173860471	104	406	29	50	2.1689730499705733	1.7778157859248274	0.1411914542492532	0.2726666698138614	60	0.2942374880165495	1	1	0.2151739934234706	14.0	65.523	71.149	110.143	26.529	13.264499999999998	2.0	108.346	0.0
931	9.31	0.1169232676397029	0.1192377725032291	0.1146696631820142	0.1153424753839612	0.1111954694391082	0.2635932477295723	94	401	35	56	2.155673868569643	1.7695727710029618	0.1323244973221864	0.2736785935431601	67	0.2736785935431601	1	1	0.2154623627451956	14.0	64.525	71.083	109.575	26.033	13.0165	2.0	107.919	0.038
932	9.32	0.1274133263050287	0.1265825826352042	0.1282015405767148	0.1148751450071263	0.1171520171670452	0.2704276171666893	93	322	30	50	2.2057705176645523	1.7903279791351376	0.1433414214916025	0.2565266830486884	64	0.2922482909218151	1	1	0.2563676180367668	12.0	66.111	71.78	112.976	24.91500000000002	12.45750000000001	3.0	111.508	0.0
933	9.33	0.1268103669848961	0.125394833247364	0.1281474016072814	0.1096967282188383	0.112446462995794	0.2706525216846783	85	308	28	46	2.1699537056527403	1.7803505353876108	0.1558304836696887	0.2765467448021149	53	0.3059454254930637	1	1	0.1671987994244224	11.0	66.155	69.715	111.637	24.233000000000004	12.116500000000002	2.0	109.577	0.027
934	9.34	0.1345330148879681	0.1308115408910241	0.1379928396392657	0.1052049138755749	0.1152766530858483	0.267428906074905	97	341	35	49	2.1865789649205087	1.7861188903655143	0.1495151628058889	0.2766430289222281	60	0.2766430289222281	1	1	0.2146493940967904	13.0	67.101	70.581	112.725	24.957000000000026	12.478500000000013	2.0	110.875	0.0
935	9.35	0.1312515909891763	0.1237132279776768	0.1380660157494335	0.1004928637783225	0.1177662242982936	0.2534522220194445	93	373	34	52	2.18989458689402	1.7870877152638436	0.1081581761751546	0.2736802012727936	58	0.2736802012727936	1	1	0.2283621413101325	13.0	65.361	71.879	111.79	25.450000000000003	12.725	2.0	109.975	0.027
936	9.36	0.1347877080797684	0.1313813864297817	0.1379617743356883	0.1141799999533871	0.1220756524847044	0.2647917945921764	93	369	31	50	2.1724912306775765	1.7819430097766749	0.1522969550887843	0.2701671193506508	56	0.2701671193506508	1	1	0.1817008424731964	15.0	66.312	72.688	112.978	26.02200000000001	13.011000000000005	2.0	111.375	0.0
937	9.37	0.1364921962350168	0.1353962546595143	0.1375305091459635	0.1208634347669094	0.1170076139476847	0.2699184124771397	100	380	33	53	2.1909145782581416	1.7872711771797214	0.1270624732548534	0.2818120251826972	62	0.2940308353150853	1	1	0.183911505037025	16.0	66.84	71.866	113.977	24.729000000000013	12.364500000000008	2.0	112.284	0.06
938	9.38	0.1307617239299821	0.1293899855414806	0.1320582351350877	0.1174200175002373	0.1169875490547177	0.2603195519621099	101	401	34	53	2.185176791239442	1.7827830664023836	0.1170936715809087	0.2755756544144217	67	0.2969235107989545	1	1	0.2352229217489171	15.0	65.627	70.676	110.838	25.465000000000003	12.732500000000002	2.0	109.253	0.027
939	9.39	0.1367365336356872	0.1297384367911521	0.1430996396477518	0.1137739617943457	0.1271772043544661	0.2648683630839906	99	376	32	48	2.199782986526596	1.7924972384553497	0.1337752112160111	0.2780467984174859	66	0.2780467984174859	1	1	0.2315613727633864	15.0	67.291	71.474	114.086	24.678999999999988	12.339499999999994	2.0	112.289	0.033
940	9.4	0.1422858334760218	0.1390778807985205	0.1452828633597805	0.1190650326987362	0.1227303460343544	0.2565110925063743	99	364	31	53	2.191330751583949	1.7869769632293695	0.1364930967932797	0.2848628778293181	54	0.2848628778293181	1	1	0.2543349986588053	12.0	65.93	71.548	111.135	26.343000000000004	13.171500000000002	2.0	109.53	0.0
941	9.41	0.1350685397838383	0.1333072411360285	0.1367291480905579	0.1156503494493451	0.1215972917990987	0.2635316001412598	95	341	31	51	2.2295425454891724	1.8005841641029845	0.0987510105616707	0.2660134406791002	71	0.2660134406791002	1	1	0.2361029872260022	14.0	67.364	71.471	112.948	25.88700000000001	12.943500000000007	2.0	111.136	0.027
942	9.42	0.1519142891527282	0.1401147846054943	0.1623828288768869	0.1154274551732479	0.1350106089936325	0.2666142060958222	85	348	34	46	2.232342612942912	1.79887197348098	0.1549142005715389	0.2758181228613332	70	0.2758181228613332	1	1	0.2397491113478843	13.0	66.949	70.469	113.43	23.988	11.994	2.0	111.734	0.027
943	9.43	0.1453402038834331	0.1372837842175049	0.1526365488579907	0.1140070011813878	0.1293381726087623	0.2705898645012924	99	372	31	48	2.213310918064617	1.7934218735410017	0.1677442501824662	0.2792712562646003	65	0.2792712562646003	1	1	0.2015652637276366	12.0	65.714	70.046	111.163	24.596999999999998	12.298499999999995	2.0	108.951	0.0
944	9.44	0.1291603267756365	0.122721577044111	0.1350221292483808	0.1086945823820245	0.1230014579994549	0.2638576271940736	105	398	33	53	2.181490694832416	1.7863170660859566	0.1566438238426003	0.2751382686760112	72	0.2786770018654508	1	1	0.2647196716210322	13.0	68.023	70.492	111.531	26.98399999999998	13.49199999999999	2.0	109.599	0.0
945	9.45	0.1386846892565126	0.1380287157724794	0.1393081648994223	0.1128553606173416	0.1196577766294714	0.2545851738698744	97	377	32	51	2.181153537298529	1.7856808600242302	0.1332679803943517	0.284143560904474	68	0.284143560904474	1	1	0.2091961402276886	14.0	68.454	71.296	113.691	26.059	13.0295	1.0	111.621	0.094
946	9.46	0.1405442697273522	0.1373857185639619	0.1434953501407985	0.1098444930684167	0.1210482814715642	0.2614592168147137	86	367	27	45	2.1924063010571944	1.787683048102501	0.1346516172125469	0.2879218079007943	61	0.2909109641725208	1	1	0.2159091313868704	13.0	68.396	70.648	113.211	25.832999999999984	12.916499999999992	2.0	111.139	0.053
947	9.47	0.1517049052174227	0.1422662536937592	0.160199255187193	0.1157196097952862	0.1377271163457973	0.2643274135497835	101	357	31	47	2.189200702662073	1.7816757594336838	0.1277564578094266	0.278879638655311	70	0.2844048481833556	1	1	0.2498828766214519	14.0	66.051	69.108	110.705	24.453999999999997	12.226999999999997	2.0	109.219	0.0
948	9.48	0.1434062842395625	0.1357026000791222	0.150394335206642	0.1162913711182535	0.1280556614192305	0.265647931493206	104	371	30	51	2.2148522436148887	1.7946193490880995	0.1447067595076156	0.2561831739279041	58	0.2561831739279041	1	1	0.2342248242361708	14.0	65.223	71.274	111.308	25.189000000000007	12.594500000000004	2.0	109.455	0.027
949	9.49	0.1529841340123237	0.137440471896853	0.1664770346107496	0.1097129623001725	0.1423633516701953	0.2676585073695974	73	328	29	50	2.2175816712094147	1.7909268615330067	0.1419914830424687	0.2964897360109714	56	0.3269754446904104	1	1	0.2106736276757742	12.0	66.431	71.789	113.191	25.029	12.514499999999998	2.0	111.165	0.0
950	9.5	0.1400415976817552	0.1410213985351486	0.1390995905226064	0.1230204253136281	0.1233279635544039	0.2586854238864159	93	361	30	47	2.178316376406704	1.78160899324901	0.131765272792476	0.2734847174210598	75	0.2855538669337357	1	1	0.2707843156495079	14.0	66.743	68.909	110.609	25.042999999999992	12.521499999999996	3.0	108.785	0.038
951	9.51	0.1329229607112042	0.1246456623151553	0.1403717715963801	0.1078387252520702	0.1265282036038434	0.2582306613493547	95	370	32	50	2.17329051467267	1.7855829435782016	0.1431377809583926	0.2762354458537911	54	0.2762354458537911	1	1	0.2628430736840089	13.0	67.294	70.813	112.053	26.054	13.027	2.0	110.252	0.027
952	9.52	0.1337709868370954	0.1246281671598343	0.1419525089184034	0.1134417304878158	0.1300904758281116	0.2714132013616441	87	392	29	53	2.189744923676287	1.787252480259882	0.1392481586140252	0.2839661028634957	65	0.2839661028634957	1	1	0.2026378319692875	14.0	66.917	71.025	112.128	25.814000000000007	12.907000000000004	2.0	110.055	0.027
953	9.53	0.1254690487027893	0.1216976879153341	0.1289672569935039	0.1108232813640821	0.1176097854688957	0.2636570191133985	91	370	27	48	2.187378641068132	1.7863140706916554	0.1481050126240092	0.2767875344713598	53	0.2767875344713598	1	1	0.2005921413275717	15.0	67.704	70.019	112.144	25.579000000000008	12.789500000000004	2.0	110.379	0.027
954	9.54	0.1291742390062973	0.1274979681941806	0.1307547768791195	0.1155813972842523	0.1218208351941745	0.2649136987146052	115	426	37	52	2.171088205540005	1.7788074001989316	0.1166482559081214	0.2756266101352541	76	0.2995497334325176	1	1	0.2537474632606998	13.0	66.573	70.812	111.922	25.462999999999997	12.731499999999995	2.0	110.371	0.038
955	9.55	0.1237487958925994	0.118102022030704	0.1289099899970585	0.1091670676363017	0.1193116741499649	0.2607638975101917	95	377	28	52	2.1640042484564237	1.77399983213271	0.1413836071136646	0.2726217007925134	53	0.2726217007925134	1	1	0.2752276173436054	12.0	64.586	70.603	110.101	25.087999999999997	12.543999999999995	2.0	108.262	0.0
956	9.56	0.1294921177508112	0.1273465507658727	0.1315081532289799	0.108212581751546	0.1138150590626037	0.2558185082291426	87	379	26	53	2.1906222242675844	1.7856051565071358	0.1394913792377184	0.2753051130366704	75	0.3106076949900839	1	1	0.1897685997373681	14.0	67.612	68.89	111.672	24.830000000000013	12.415000000000006	2.0	109.758	0.027
957	9.57	0.1290879062688719	0.1365170438383575	0.1215711975027602	0.1262403955106557	0.1119912442989013	0.260288419842739	102	365	33	52	2.1848247276217814	1.7873448470837163	0.1149104332286904	0.2792175613340928	59	0.2792175613340928	1	1	0.2510781478650402	13.0	67.728	69.364	112.19	24.901999999999987	12.450999999999992	2.0	110.548	0.0
958	9.58	0.1235790132356354	0.1310041506316214	0.1160465384038981	0.1205845607261262	0.107280982779981	0.2649942412236376	88	390	30	51	2.145599421758779	1.7716640562029098	0.1239210895034378	0.2675376297104314	77	0.2762623263224776	1	1	0.2590906019504315	14.0	65.449	70.866	110.995	25.319999999999997	12.659999999999997	2.0	109.443	0.0
959	9.59	0.1361821171014002	0.1382871723167506	0.1341412709396645	0.1253753323025303	0.1206798780176477	0.2621161977623391	110	417	34	51	2.176822041906566	1.7834567489989257	0.1185885918002694	0.3014600138971765	61	0.3072116763598482	1	1	0.2889486995649223	13.0	64.475	72.88	111.384	25.97099999999999	12.985499999999996	1.0	109.624	0.038
960	9.6	0.1412279459505839	0.1381460524157285	0.1441092025633957	0.1195839570889905	0.1262326567967895	0.2499238214354101	92	363	30	53	2.197817042066988	1.7903180820169833	0.1267993257277082	0.284789597218329	54	0.284789597218329	1	1	0.2142083702714102	16.0	66.917	70.666	111.577	26.006	13.003	2.0	109.485	0.0
961	9.61	0.1489458633406968	0.1384648390407939	0.1583073928567204	0.122323931245105	0.1357290431788883	0.2597479355152177	101	381	33	54	2.218169012082223	1.795624170139967	0.1435284869466336	0.2707498870761564	60	0.2707498870761564	1	1	0.226064971387611	15.0	67.383	70.66	111.761	26.28200000000001	13.141000000000004	2.0	110.214	0.0
962	9.62	0.1436727523544478	0.1338002800303924	0.1525042037094105	0.1142313897965913	0.1334654730167092	0.2639715154724165	86	364	26	49	2.194283046183979	1.7851411401709627	0.133916423682728	0.2726919971176664	78	0.2726919971176664	1	1	0.2747445422166032	15.0	64.179	70.54	109.296	25.422999999999988	12.711499999999994	2.0	107.735	0.0
963	9.63	0.1342970595880566	0.1241300339077617	0.1433335795424551	0.1094046938023363	0.1276586087032347	0.2611864184345777	76	358	27	51	2.1976839679059745	1.792005309697558	0.1148811473227695	0.2701820215351995	62	0.2701820215351995	1	1	0.2598892463096149	14.0	66.584	70.374	110.855	26.102999999999994	13.051499999999995	2.0	109.209	0.038
