case_id,display,series,x,value,x_unit,value_unit
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,0.66,0.1204634,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,0.67,0.1204636,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,0.68,0.1254672,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,0.6900001,0.1198034,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,0.7,0.1084074,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,0.71,0.11966,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,0.72,0.1204464,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,0.73,0.1201228,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,0.74,0.1200491,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,0.7500001,0.1249619,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,0.7600001,0.120977,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,0.77,0.119885,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,0.78,0.12108,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,0.79,0.1229559,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,0.8,0.1196152,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,0.8100001,0.1236229,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,0.8200001,0.1281357,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,0.83,0.1317449,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,0.84,0.1163716,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,0.85,0.1082923,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,0.86,0.1039936,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,0.8700001,0.115251,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,0.8800001,0.1093049,ns,nm
