gene	mean_deletion_recovery_shift	baseline_detection_fraction	median_normalized_token_rank	n_donors_delete	mean_overexpression_recovery_shift	n_donors_overexpress	bidirectional_recovery_score	expected_direction_both
BCL2L1	-0.0229179750817517	0.171875	0.5312016503352244	15	-0.0027123290890206	15	0.01010282299636555	False
JAK2	-0.0190619160576413	0.1620065789473684	0.7125524965002333	15	0.0118053568527102	15	0.01543363645517575	True
PIM1	-0.0311392967589199	0.2450657894736842	0.746448583680145	15	0.0102389155110965	15	0.020689106135008198	True
STAT5A	-0.0293412475846707	0.1488486842105263	0.7238051470588235	15	-0.0173799136498322	15	0.005980666967419251	False
STAT5B	-0.0243872904164683	0.100328947368421	0.6720772444659989	14	0.0066380236021359	14	0.0155126570093021	True
