case_id	display	protein_rmsd_mean_nm	ligand_rmsd_mean_nm	minimum_distance_median_nm	proximity_fraction_mean	ca_rmsf_median_nm
TOP2A_sesamin	TOP2A–sesamin	0.228395526232651	0.401379345946607	0.304661100568389	0.992426863485157	0.0928770815614227
GSK3B_linarin	GSK3B–linarin	0.200916183029259	0.242561987635765	0.267638644931913	0.865674305704291	0.0847871302692135
KIT_3O_Methylorobol	KIT–3′-O-methylorobol	0.261224752073963	0.130000305897051	0.2682501	1	0.07535
HIF1A_ARNT_butin_exploratory	HIF1A–ARNT–butin†	0.229006300401562	0.285581487759984	0.280802531493885	0.997076461769115	0.0812649830362694
SYK_isofucosterol	SYK–isofucosterol	0.208834873013507	0.291858295835349	0.300684233896053	0.694136265200733	0.0910841444655074
