variant	n_donors	median_recovery_shift	mean_recovery_shift	positive_fraction	spearman_vs_all_programs
all_programs	15	0.1281000907696287	0.0929884357344185	0.6	1.0
leave_out_HSPC_identity	15	0.1581911839839031	0.0866574772303486	0.6	0.9892857142857142
leave_out_cell_cycle_recovery	15	0.0383814248821813	0.0417698094777584	0.7333333333333333	0.5714285714285713
leave_out_hematopoietic_support	15	0.1334615199286331	0.0933571577702466	0.6	0.9964285714285712
