"candidate","gene","Z","p.adj","significant"
"CDK6","PRSS57",4.05135292048734,0,TRUE
"CDK6","SMIM24",2.90850568776834,6.00534527283613e-23,TRUE
"CDK6","GYPC",2.44277042236858,5.48238769770071e-05,TRUE
"CDK6","CDCA7",2.41405163015606,0.000152567909017868,TRUE
"CDK6","RPS18",2.34065618529483,0.0020377148762976,TRUE
"CDK6","C1orf228",2.32788262159326,0.00268017405292672,TRUE
"CDK6","CD34",2.28374131844026,0.00921724240559812,TRUE
"CDK6","SPINK2",2.27634935883032,0.0101412259170812,TRUE
"CDK6","RPS6",2.24113652980593,0.0237959010770133,TRUE
"CDK6","IMPDH2",2.23369040764751,0.0261832168811248,TRUE
"CDK6","ZFP36L2",2.20257435703767,0.0511362526045841,FALSE
"CDK6","PGF",1.76285607900219,0.999999999956702,FALSE
"CDK6","SELK",1.6995040698014,0.999999999956702,FALSE
"CDK6","TPM4",1.18205786454011,0.999999999956702,FALSE
"CDK6","AURKA",0.99208593207251,0.999999999956702,FALSE
"CDK6","CTTN",0.621082988700626,0.999999999956702,FALSE
"CDK6","F13A1",0.548768391426336,0.999999999956702,FALSE
"CDK6","RGS18",0.543668716499959,0.999999999956702,FALSE
"CDK6","CMIP",0.520514782040916,0.999999999956702,FALSE
"CDK6","DAPP1",0.476104371126073,0.999999999956702,FALSE
"CDK6","KIF2A",0.468242196548341,0.999999999956702,FALSE
"CDK6","NEXN",0.444363370086012,0.999999999956702,FALSE
"CDK6","CLDN5",0.411128720867931,0.999999999956702,FALSE
"CDK6","ABCC3",0.372191641755763,0.999999999956702,FALSE
"CA2","PRSS57",3.83572176248914,0,TRUE
"CA2","SMIM24",2.7084398813952,4.74828443427205e-20,TRUE
"CA2","GYPC",2.23013721121159,0.000678569630469379,TRUE
"CA2","CDCA7",2.21929014601813,0.000818937990181013,TRUE
"CA2","RPS18",2.16094175276119,0.00510542337375809,TRUE
"CA2","C1orf228",2.11569316144437,0.0169028564034401,TRUE
"CA2","SPINK2",2.10919136773292,0.0177170698279183,TRUE
"CA2","CD34",2.09452961168821,0.02338621592588,TRUE
"CA2","RPS6",2.06022854038108,0.0499501634696441,TRUE
"CA2","IMPDH2",2.02970882539935,0.0916546626086237,FALSE
"CA2","ZFP36L2",1.98508962291896,0.211776403951505,FALSE
"CA2","PGF",1.64519337569131,0.99999999994277,FALSE
"CA2","TPM4",1.51510792947603,0.99999999994277,FALSE
"CA2","SELK",1.37617228916228,0.99999999994277,FALSE
"CA2","F13A1",1.28693809587906,0.99999999994277,FALSE
"CA2","CTTN",1.25216552280646,0.99999999994277,FALSE
"CA2","CMIP",1.24426844689234,0.99999999994277,FALSE
"CA2","DAPP1",1.23137526724717,0.99999999994277,FALSE
