analysis,n_donors,n_positive,positive_fraction,median_shift,median_bootstrap_95ci_low,median_bootstrap_95ci_high,exact_two_sided_sign_p,minimum_shift,maximum_shift
latest_available_5000,17,17,1.0,0.3623599695609635,0.22440538261472598,0.6553218701171255,1.52587890625e-05,0.10452981573358026,1.007144268014759
six_month_only_5000,15,15,1.0,0.4291383461240156,0.22364730985689707,0.6553218701171255,6.103515625e-05,0.10452981573358026,1.007144268014759
six_month_only_3000,15,15,1.0,0.45604492866480506,0.25333526683257346,0.7195756210514526,6.103515625e-05,0.11937080512203008,1.0768888333204854
six_month_only_1000,15,15,1.0,0.5126822491777542,0.2962107422797256,0.8888968863509898,6.103515625e-05,0.08841865793966813,1.1622039154829997
