scenario,GeneSymbol,rank_no_docking_formal,no_docking_formal_score,scenario_score,scenario_rank,formal_rank_reproduced,rank_shift_vs_formal,in_scenario_top30,is_core10,is_focus5,dropped_components
formal_all_components,LYN,71,39.869822346176974,39.86982234951411,71,71,0,False,False,False,none
formal_all_components,MMP9,72,39.81338843460768,39.81338843496559,72,72,0,False,False,False,none
formal_all_components,CDC25A,73,39.76592774178862,39.765927743347426,73,73,0,False,False,False,none
formal_all_components,RET,74,39.69428208389376,39.69428208516469,74,74,0,False,False,False,none
formal_all_components,KDR,75,39.68880631997319,39.68880631911105,75,75,0,False,False,False,none
formal_all_components,TTK,76,39.08797180174,39.08797180390252,76,76,0,False,False,False,none
formal_all_components,ABL1,77,38.23770443318052,38.237704435793745,77,77,0,False,False,False,none
formal_all_components,PDGFRB,78,37.58277695897213,37.582776959836025,78,78,0,False,False,False,none
formal_all_components,VEGFA,79,37.51559416668631,37.515594168352926,79,79,0,False,False,False,none
formal_all_components,ALDH2,80,37.46903022693876,37.469030228764574,80,80,0,False,False,False,none
formal_all_components,EIF2AK3,81,37.368566010757405,37.368566013381,81,81,0,False,False,False,none
formal_all_components,TTR,82,37.20798482526064,37.20798482532175,82,82,0,False,False,False,none
formal_all_components,LCK,83,37.18429618220377,37.18429618298348,83,83,0,False,False,False,none
formal_all_components,C5AR1,84,36.86259213361141,36.86259213586092,84,84,0,False,False,False,none
formal_all_components,ALPL,85,36.78870659369071,36.78870659600494,85,85,0,False,False,False,none
formal_all_components,PIK3CD,86,36.3479616394086,36.34796164180722,86,86,0,False,False,False,none
formal_all_components,NFKB1,87,35.95116330872005,35.95116331224083,87,87,0,False,False,False,none
formal_all_components,F10,88,35.91463664322328,35.91463664258366,88,88,0,False,False,False,none
formal_all_components,BCL2L1,89,35.599869179960066,35.59986918027145,89,89,0,False,False,False,none
formal_all_components,STAT1,90,35.43908280950596,35.43908281142591,90,90,0,False,False,False,none
formal_all_components,CCR5,91,34.535805159343205,34.53580516277979,91,91,0,False,False,False,none
formal_all_components,TEK,92,34.08550950698603,34.085509504527835,92,92,0,False,False,False,none
formal_all_components,MAP2K1,93,33.96083152101814,33.96083152439773,93,93,0,False,False,False,none
formal_all_components,CCND1,94,33.61313395996893,33.61313396097223,94,94,0,False,False,False,none
formal_all_components,IL2,95,33.38161198097101,33.38161198182787,95,95,0,False,False,False,none
formal_all_components,XDH,96,33.25860879814001,33.2586087971805,96,96,0,False,False,False,none
formal_all_components,ERBB2,97,32.897317052884326,32.897317052714904,97,97,0,False,False,False,none
formal_all_components,CXCR2,98,32.38390999979941,32.38391000116056,98,98,0,False,False,False,none
formal_all_components,IGFBP3,99,31.6233013275042,31.623301326641034,99,99,0,False,False,False,none
formal_all_components,CYP3A4,100,31.491053129475883,31.49105313100587,100,100,0,False,False,False,none
formal_all_components,CD81,101,31.427772016711288,31.427772019039978,101,101,0,False,False,False,none
formal_all_components,BRAF,102,31.18792941056806,31.18792941207442,102,102,0,False,False,False,none
formal_all_components,PLAT,103,31.035857151235334,31.035857152675195,103,103,0,False,False,False,none
formal_all_components,PGR,104,30.99884992148073,30.9988499189908,104,104,0,False,False,False,none
formal_all_components,FGFR1,105,30.73995505405806,30.7399550547556,105,105,0,False,False,False,none
formal_all_components,PGF,106,30.60832355039873,30.608323551506228,106,106,0,False,False,False,none
formal_all_components,EGLN1,107,30.00374862627243,30.00374862862355,107,107,0,False,False,False,none
formal_all_components,TLR9,108,29.73191887766343,29.731918879338288,108,108,0,False,False,False,none
formal_all_components,IDO1,109,29.32769303768205,29.327693038749352,109,109,0,False,False,False,none
formal_all_components,NOD2,110,28.74296187424454,28.742961877004397,110,110,0,False,False,False,none
formal_all_components,GSR,111,28.637162364918588,28.637162367012987,111,111,0,False,False,False,none
formal_all_components,FLT4,112,28.475023136774187,28.47502313685688,112,112,0,False,False,False,none
formal_all_components,PRKACA,113,27.68482295585844,27.684822958270143,113,113,0,False,False,False,none
formal_all_components,CTSK,114,26.547280084723155,26.54728008652943,114,114,0,False,False,False,none
formal_all_components,CASP8,115,25.64477594464451,25.644775946632265,115,115,0,False,False,False,none
formal_all_components,F8,116,25.33240551792412,25.33240551949698,116,116,0,False,False,False,none
formal_all_components,SERPINE1,117,25.315326962076785,25.315326960723567,117,117,0,False,False,False,none
formal_all_components,KDM5C,118,24.754871643831784,24.754871644977747,118,118,0,False,False,False,none
formal_all_components,FLT1,119,24.551593101941315,24.55159310441383,119,119,0,False,False,False,none
formal_all_components,CYP1A1,120,24.524530491450573,24.52453049198258,120,120,0,False,False,False,none
formal_all_components,MTOR,121,22.32585577427577,22.325855776537022,121,121,0,False,False,False,none
formal_all_components,PON1,122,22.125804055815617,22.125804057435168,122,122,0,False,False,False,none
formal_all_components,APOB,123,22.05516476510235,22.055164765890257,123,123,0,False,False,False,none
formal_all_components,SHH,124,21.368955187390448,21.368955186967142,124,124,0,False,False,False,none
formal_all_components,CFTR,125,15.074098735280806,15.074098733471914,125,125,0,False,False,False,none
formal_all_components,KNG1,126,12.45238394133412,12.45238394216135,126,126,0,False,False,False,none
drop_explicit_recovery_only,CA2,2,77.61705714886202,77.52485083737312,1,2,-1,True,True,False,score_AA_direction_recovery
drop_explicit_recovery_only,CDK6,1,79.34656777665151,77.47325294964266,2,1,1,True,True,False,score_AA_direction_recovery
drop_explicit_recovery_only,ACHE,5,67.35091437159633,71.31236186245246,3,5,-2,True,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,PARP1,4,68.82787111305984,70.78352143366683,4,4,0,True,True,False,score_AA_direction_recovery
drop_explicit_recovery_only,HSP90AB1,3,72.96351599301178,69.6367611286768,5,3,2,True,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,HIF1A,6,62.61401169363506,66.37541763902881,6,6,0,True,True,True,score_AA_direction_recovery
drop_explicit_recovery_only,KIT,7,61.97632846267291,63.76596853434053,7,7,0,True,True,True,score_AA_direction_recovery
drop_explicit_recovery_only,CDK2,9,59.59020295464639,62.57992805988213,8,9,-1,True,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,TERT,16,57.53866507508347,62.27913356213561,9,16,-7,True,True,False,score_AA_direction_recovery
drop_explicit_recovery_only,TOP2A,12,59.03646155477588,61.688939811087494,10,12,-2,True,True,True,score_AA_direction_recovery
drop_explicit_recovery_only,SYK,11,59.07862844170006,61.60264512767108,11,11,0,True,True,True,score_AA_direction_recovery
drop_explicit_recovery_only,APEX1,10,59.43107527416479,61.57963374062202,12,10,2,True,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,CHEK1,14,57.87059883307138,60.38576656872608,13,14,-1,True,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,PTPN11,17,57.292317637911296,60.224547131333004,14,17,-3,True,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,CDK4,8,60.38938765416852,60.20887927796045,15,8,7,True,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,SIGMAR1,15,57.55192381845957,60.117962716981246,16,15,1,True,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,PTGS2,18,56.65453431485879,59.79172387157078,17,18,-1,True,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,ARG1,19,56.4415071362566,59.544516292090364,18,19,-1,True,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,HSP90AA1,13,58.73784582062004,59.2319880175009,19,13,6,True,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,CD38,20,56.33118733049547,58.226828569153454,20,20,0,True,True,False,score_AA_direction_recovery
drop_explicit_recovery_only,CDK1,35,51.94578069785499,58.118134769324534,21,35,-14,True,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,MDM4,21,55.64509677007915,58.01960950929789,22,21,1,True,False,False,score_AA_direction_recovery
drop_explicit_recovery_only,GSK3B,24,54.67323933342392,57.63481036852174,23,24,-1,True,True,True,score_AA_direction_recovery
