"Power","SFT.R.sq","slope","truncated.R.sq","mean.k.","median.k.","max.k.","fixed_power_used","reestimated_powerEstimate"
1,0.381106356624244,7.15840083713134,0.934194960349368,2779.4292559896,2794.31074840887,3279.88422348178,18,NA
2,0.313024245059792,3.50164762305884,0.919927720268222,1674.66011890169,1684.35032790652,2241.56818348381,18,NA
3,0.261027714828579,2.16270023158105,0.909330603969982,1072.85166419234,1075.13470559398,1586.03792888067,18,NA
4,0.262447839985705,1.48057926192077,0.942721018678331,721.08420041296,718.29551779104,1156.05952324919,18,NA
5,0.0929319488654574,0.694000307424498,0.917741258540576,503.617791099584,497.389605037567,893.183108914033,18,NA
6,0.00514938635879938,0.131113645317301,0.927142246972419,362.936145675747,354.769257582868,708.872587504497,18,NA
7,0.0187588585402445,-0.218518637694144,0.947057790057411,268.460073668739,258.567907635137,572.884845436308,18,NA
8,0.114758281208893,-0.561012259804905,0.927429369074686,202.996461711267,192.208079834177,476.150187630964,18,NA
9,0.221009870409084,-0.779194111152008,0.944360717534355,156.414458808022,145.513231207788,403.314891728559,18,NA
10,0.335310387975401,-1.03648977698256,0.937258757650091,122.502415745602,112.072123698242,344.984522933129,18,NA
12,0.488898602263119,-1.35049614191861,0.942235942430101,78.2909116355255,69.1246978773706,258.462960252377,18,NA
14,0.583727278406083,-1.60021272365571,0.94442324860153,52.331363532483,44.5344070258081,198.546312618917,18,NA
16,0.642386125097919,-1.80238134183319,0.94327770660002,36.2643614759356,29.7211016604177,155.540743384198,18,NA
18,0.678726941735425,-1.93776424909903,0.946680183709053,25.8868985743696,20.4202139714824,123.806147526217,18,NA
20,0.719353152524036,-2.02306347473816,0.956817140908763,18.9438476196908,14.2987393099699,99.8625585848237,18,NA
